,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
0,2.5258,7.2195,0.761,10.6954
1,1.7755,5.4284,0.7565,8.1809
2,2.3254,5.119,0.9823,8.6393
3,1.7885,5.2748,0.7604,8.042
4,1.7701,5.2149,0.7549,7.9542
5,1.7806,5.1716,0.7612,7.9345
6,1.7615,5.2408,0.8263,8.0455
7,1.7579,5.2707,0.8758,8.1275
8,2.5752,6.8039,0.8819,10.5001
9,1.7861,5.2564,0.9082,8.1794
10,1.8651,5.1968,0.9092,8.201
11,1.7601,5.492,0.9807,8.4652
12,1.8012,5.4505,0.8731,8.358
13,1.7804,5.5225,0.8402,8.3744
14,1.7668,5.4616,0.8351,8.2879
15,1.8124,5.4977,0.8331,8.3716
16,2.7686,7.3222,0.8597,11.1918
17,1.8413,7.6729,1.4834,11.23
18,2.6229,9.4346,1.5641,13.8498
19,2.6209,5.7234,0.8925,9.462
20,1.8854,6.3623,0.8812,9.3551
21,1.881,7.1071,1.6067,10.8262
22,1.8904,5.9313,0.8727,8.9184
23,1.9054,6.2745,0.8815,9.2884
24,2.7584,8.4311,0.8803,12.2941
25,1.9255,6.7259,0.9198,9.8017
26,1.9498,6.1725,0.8956,9.2508
27,1.9627,7.6182,0.9003,10.72
28,1.9855,6.2941,1.236,9.7402
29,1.9993,6.4405,0.9814,9.6465
30,2.0173,9.6427,1.6676,13.5565
31,2.7161,10.5672,1.6169,15.1303
32,3.1518,7.9168,0.9192,12.2208
33,2.7317,8.8822,0.9211,12.7618
34,2.1319,7.5077,0.9227,10.7875
35,2.1489,7.0726,1.6697,11.1237
36,2.1476,6.7885,0.9478,10.1097
37,2.1753,7.6769,0.9221,10.9992
38,2.1443,7.1802,1.3648,10.9139
39,2.3939,7.6004,0.9549,11.1704
40,3.1243,9.2702,0.9538,13.5743
41,2.2518,7.3622,0.9478,10.7842
42,2.2194,7.3158,0.9426,10.6979
43,2.2048,7.2639,0.9553,10.6463
44,2.2525,7.3133,0.9691,10.7519
45,2.2538,7.4463,0.9703,10.8965
46,2.2967,7.465,0.9738,10.9569
47,2.7215,7.6103,0.975,11.5243
48,3.5301,8.9347,0.9759,13.6641
49,2.308,7.8366,1.1073,11.4717
50,2.314,7.7027,0.9888,11.2242
51,2.4128,7.9021,1.0052,11.5345
52,2.3374,7.8672,0.999,11.4265
53,2.3379,7.9186,1.0105,11.4948
54,2.3381,7.8817,1.0115,11.448
55,2.3337,7.9385,1.0046,11.4925
56,3.4471,10.4517,1.0095,15.123
57,2.3423,8.0288,1.0114,11.6035
58,2.4544,9.0293,1.0214,12.7252
59,2.4377,8.048,1.0206,11.7247
60,2.354,7.9602,1.0204,11.5522
