,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
0,0.0494,0.1989,0.4702,0.3191,0.1953,0.196,0.2093,0.6089,0.0002,0.0002,0.0691,0.2668,1.9538,2.0081,9.4194,0.8073,12.3973
1,0.0451,0.3278,0.4841,0.3525,0.2065,0.1844,0.2172,0.6162,0.0003,0.0002,0.0697,0.264,2.1344,2.1833,5.392,0.8263,8.6068
2,0.046,0.33,0.4897,0.3258,0.208,0.181,0.2233,0.6208,0.0003,0.0001,0.0667,0.2771,2.1281,2.1774,5.1872,0.8169,8.3784
3,0.0454,0.2839,0.4803,0.3407,0.2053,0.1874,0.2342,0.6348,0.0002,0.0001,0.1013,0.2599,2.1192,2.1679,5.1758,0.8205,8.3622
4,0.0454,0.295,0.4918,0.3105,0.1936,0.1663,0.2111,0.5743,0.0002,0.0002,0.0747,0.2595,2.0267,2.0754,5.2028,0.8217,8.2974
5,0.0453,0.2974,0.4796,0.3102,0.2021,0.1679,0.218,0.5914,0.0002,0.0001,0.0826,0.2646,2.0358,2.084,5.1556,0.8127,8.2492
6,0.0461,0.285,0.4709,0.3161,0.2028,0.1638,0.2183,0.5877,0.0001,0.0002,0.0719,0.2621,2.0072,2.0563,5.2873,0.9004,8.4416
7,0.0457,0.2908,0.4671,0.3034,0.2134,0.2087,0.2344,0.6594,0.0002,0.0002,0.0708,0.247,2.0465,2.0951,5.2884,0.9569,8.5489
8,0.0471,0.1787,0.4331,0.3154,0.2016,0.2178,0.2182,0.643,0.0002,0.0001,0.077,0.256,1.9162,1.9677,7.9854,0.9659,11.1224
9,0.0457,0.3036,0.4974,0.3334,0.2219,0.2234,0.2356,0.6856,0.0002,0.0001,0.0706,0.255,2.163,2.2121,5.4009,0.9977,8.83
10,0.0475,0.3021,0.4882,0.3467,0.2258,0.2366,0.2347,0.705,0.0003,0.0002,0.0854,0.2643,2.2099,2.2606,5.3469,0.9838,8.8129
11,0.047,0.2917,0.487,0.3431,0.2175,0.2249,0.2325,0.6819,0.0002,0.0002,0.0918,0.2719,2.1876,2.2381,5.4051,0.9723,8.8332
12,0.0465,0.3899,0.4835,0.3304,0.2227,0.1757,0.2431,0.6455,0.0002,0.0001,0.0872,0.2514,2.2031,2.2527,5.4535,0.9465,8.8671
13,0.0458,0.3065,0.5024,0.3571,0.245,0.2354,0.2502,0.74,0.0002,0.0002,0.0698,0.2571,2.2546,2.3035,5.5336,0.9323,8.9823
14,0.0454,0.2957,0.4786,0.3267,0.232,0.2323,0.2437,0.716,0.0002,0.0001,0.0888,0.263,2.1856,2.2342,5.5989,0.923,8.9727
15,0.0449,0.2993,0.4767,0.3265,0.2373,0.2275,0.2448,0.7154,0.0002,0.0002,0.0874,0.2602,2.1815,2.2296,5.563,0.9248,8.9282
16,0.0562,0.1783,0.4616,0.3476,0.2192,0.1838,0.234,0.6457,0.0002,0.0002,0.0631,0.2569,1.9745,2.0354,9.1567,0.9316,12.3533
17,0.0477,0.3345,0.4924,0.3356,0.2243,0.2312,0.2367,0.7001,0.0003,0.0002,0.0677,0.2774,2.2255,2.2765,6.4365,0.9502,9.8812
18,0.0459,0.2998,0.4754,0.3384,0.22,0.218,0.2353,0.6772,0.0002,0.0001,0.067,0.2553,2.1279,2.177,5.8051,0.9889,9.1829
19,0.0464,0.2936,0.4721,0.2981,0.2423,0.2195,0.2548,0.7202,0.0002,0.0001,0.0816,0.2643,2.1412,2.1907,5.8123,0.9646,9.1773
20,0.0454,0.2851,0.4737,0.3372,0.2465,0.221,0.2619,0.734,0.0002,0.0001,0.0878,0.2515,2.1806,2.2288,5.8803,0.964,9.2823
21,0.0456,0.2884,0.4638,0.3181,0.2521,0.2145,0.2655,0.7351,0.0002,0.0001,0.0703,0.2539,2.1464,2.1953,5.985,0.9548,9.3468
22,0.0456,0.2914,0.4814,0.3432,0.2439,0.2293,0.2624,0.7454,0.0003,0.0002,0.0851,0.2579,2.2229,2.2718,6.1135,0.9726,9.5697
23,0.045,0.3103,0.4778,0.3464,0.2452,0.1819,0.2611,0.6971,0.0003,0.0002,0.0667,0.2541,2.1708,2.2191,6.0108,0.965,9.4121
24,0.0477,0.2843,0.4522,0.3271,0.2385,0.2319,0.2554,0.7344,0.0003,0.0002,0.0735,0.2745,2.1673,2.2198,10.0455,0.9616,13.4506
25,0.0471,0.3291,0.49,0.3279,0.2481,0.2269,0.2653,0.7471,0.0003,0.0002,0.0757,0.2696,2.2597,2.3103,6.4558,0.9816,9.9689
26,0.0461,0.3001,0.4748,0.3397,0.2449,0.1841,0.2634,0.6994,0.0001,0.0002,0.0671,0.2662,2.1633,2.2135,6.7039,0.9729,10.1144
27,0.0446,0.2911,0.4857,0.3376,0.2426,0.2217,0.2567,0.7265,0.0002,0.0002,0.0883,0.2613,2.2115,2.2593,6.3998,0.9901,9.861
28,0.0462,0.2829,0.4782,0.3293,0.2409,0.2188,0.2546,0.7187,0.0002,0.0002,0.0782,0.268,2.1701,2.2198,6.5156,0.9957,9.9444
29,0.046,0.2936,0.4642,0.3242,0.2512,0.2141,0.2573,0.7259,0.0002,0.0002,0.0651,0.2636,2.1448,2.1936,6.6897,0.994,10.0958
30,0.0462,0.2955,0.4767,0.3229,0.2511,0.1739,0.2628,0.6909,0.0002,0.0001,0.0769,0.2583,2.138,2.1878,6.8603,1.0032,10.2631
31,0.0455,0.2954,0.4767,0.3718,0.2555,0.2251,0.2689,0.7575,0.0003,0.0001,0.0871,0.2609,2.2713,2.3202,6.82,1.0093,10.3611
32,0.0551,0.2893,0.4567,0.3545,0.2515,0.246,0.2528,0.7601,0.0002,0.0002,0.0779,0.2646,2.2236,2.2836,9.4093,1.027,12.9434
33,0.0461,0.3146,0.5009,0.3207,0.2469,0.2155,0.2615,0.7269,0.0002,0.0002,0.0616,0.2695,2.204,2.2962,7.7864,1.0172,11.3147
