,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
0,0.0094,0.2048,0.6613,0.0558,0.0024,0.2345,0.0001,0.05,0.1203,0.0003,0.0892,0.2685,0.8437,1.7296,3.9553,0.4344,6.2173
1,0.0096,0.2409,0.6665,0.0469,0.0025,0.2913,0.0001,0.0494,0.1268,0.0002,0.1417,0.2958,0.975,1.9015,3.6671,0.772,6.4663
2,0.0094,0.2139,0.6534,0.0494,0.0019,0.2807,0.0001,0.0505,0.1302,0.0003,0.1378,0.2891,0.9592,1.8451,3.0692,0.446,5.4845
3,0.0094,0.2286,0.6287,0.0499,0.003,0.2312,0.0001,0.0494,0.125,0.0002,0.09,0.2752,0.8406,1.7167,5.0005,0.7714,7.6108
4,0.0093,0.2132,0.6395,0.0451,0.0027,0.2337,0.0001,0.0476,0.1244,0.0001,0.084,0.2652,0.8213,1.6934,5.0579,0.7727,7.6403
5,0.0092,0.2343,0.6444,0.0484,0.0024,0.2295,0.0001,0.0514,0.1248,0.0002,0.0886,0.2661,0.8303,1.7286,2.8339,0.4421,5.1232
6,0.0093,0.2277,0.6513,0.0535,0.0039,0.2359,0.0001,0.0539,0.1283,0.0003,0.0909,0.2697,0.8565,1.7558,2.7653,0.5175,5.1545
7,0.0095,0.2101,0.6294,0.0597,0.0033,0.2759,0.0002,0.0467,0.123,0.0002,0.1385,0.2625,0.9268,1.7843,4.7526,0.8425,7.5036
8,0.0105,0.2084,0.6874,0.0588,0.0029,0.2881,0.0001,0.0528,0.1213,0.0002,0.1384,0.2853,0.9696,1.8881,5.3231,0.6431,7.9927
9,0.0101,0.239,0.6458,0.0448,0.0016,0.2228,0.0001,0.056,0.1231,0.0002,0.0855,0.2634,0.8081,1.7161,3.7254,0.5012,6.07
10,0.0091,0.2131,0.6194,0.0509,0.0016,0.2766,0.0001,0.0451,0.1238,0.0002,0.1357,0.2827,0.9288,1.7787,2.9198,0.5056,5.331
11,0.009,0.2208,0.6045,0.0531,0.0014,0.3008,0.0001,0.0503,0.1278,0.0002,0.1389,0.2791,0.973,1.8163,4.8219,0.7972,7.563
12,0.0096,0.2201,0.6734,0.0524,0.0015,0.2183,0.0001,0.0449,0.1219,0.0002,0.0902,0.2739,0.8137,1.7273,2.8666,0.5127,5.2323
13,0.0093,0.2101,0.6135,0.0543,0.0015,0.2648,0,0.0449,0.1252,0.0001,0.1308,0.254,0.8844,1.7222,3.0451,0.8172,5.7128
14,0.0092,0.2175,0.6318,0.0505,0.0015,0.2523,0.0001,0.0421,0.1274,0.0002,0.1311,0.2541,0.8721,1.7374,4.0462,0.4972,6.413
15,0.0088,0.2106,0.606,0.0554,0.0014,0.2803,0.0001,0.0433,0.1282,0.0002,0.1263,0.2635,0.9074,1.7387,3.2855,0.4953,5.6422
16,0.0092,0.1014,0.6666,0.049,0.0016,0.2761,0.0001,0.0544,0.1206,0.0002,0.1319,0.2746,0.922,1.7131,5.6757,0.8157,8.3308
17,0.009,0.2352,0.6644,0.0478,0.0021,0.2402,0.0001,0.049,0.1295,0.0001,0.0877,0.2847,0.8551,1.7726,4.9131,0.808,7.6306
18,0.0092,0.2229,0.6633,0.0592,0.0032,0.2893,0.0001,0.0484,0.1323,0.0002,0.1448,0.2946,0.9917,1.8962,5.6154,0.8938,8.5333
19,0.0099,0.1901,0.6463,0.0588,0.0037,0.2842,0.0001,0.0493,0.1359,0.0002,0.1332,0.2629,0.9477,1.8014,4.8632,0.6672,7.4564
20,0.0104,0.224,0.6368,0.0537,0.0018,0.2997,0.0001,0.0442,0.1369,0.0002,0.1328,0.2811,0.97,1.8522,3.8172,0.5168,6.3103
21,0.009,0.2187,0.6357,0.055,0.0027,0.3047,0,0.0472,0.1382,0.0002,0.1308,0.2597,0.9587,1.8329,3.7204,0.5117,6.1869
22,0.0093,0.2315,0.6401,0.0568,0.0016,0.2906,0.0001,0.044,0.1393,0.0001,0.1335,0.2677,0.9447,1.8372,3.3821,0.5239,5.869
23,0.0094,0.2231,0.629,0.0516,0.0016,0.2384,0.0001,0.0427,0.1544,0.0002,0.0881,0.2624,0.8488,1.7159,3.2713,0.5228,5.6306
24,0.0095,0.0982,0.6261,0.0659,0.0015,0.2748,0.0001,0.0559,0.1372,0.0001,0.133,0.2752,0.954,1.696,6.0837,0.8401,8.7494
25,0.0091,0.2313,0.6465,0.0566,0.0016,0.3042,0.0001,0.0492,0.1477,0.0001,0.1487,0.2747,0.9932,1.8865,6.2455,0.8583,9.1195
26,0.0093,0.2317,0.5965,0.0477,0.0015,0.2399,0.0001,0.0427,0.1357,0.0002,0.086,0.2786,0.8411,1.6842,3.413,0.5257,5.7504
27,0.0093,0.2131,0.6457,0.054,0.002,0.3132,0.0001,0.0497,0.1506,0.0002,0.1379,0.2679,0.9961,1.873,5.1995,0.5319,7.7268
28,0.0088,0.1996,0.6504,0.057,0.0035,0.3085,0.0002,0.0484,0.1462,0.0002,0.139,0.2612,0.9812,1.8513,3.5356,0.5224,6.0366
29,0.0093,0.2154,0.6324,0.056,0.0041,0.3067,0.0001,0.045,0.1402,0.0002,0.1332,0.2753,0.9802,1.8488,4.0337,0.5284,6.533
30,0.0091,0.236,0.6475,0.0608,0.002,0.2982,0.0001,0.0546,0.1497,0.0002,0.1343,0.2753,0.9944,1.8959,3.6397,0.5178,6.1742
31,0.0097,0.2124,0.6254,0.0551,0.0017,0.2582,0.0001,0.0474,0.1494,0.0002,0.0907,0.2758,0.8974,1.7542,4.2863,0.838,6.9994
32,0.0102,0.1103,0.7697,0.0569,0.0022,0.3272,0.0001,0.0557,0.1382,0.0003,0.1418,0.2779,1.018,1.9229,6.2823,0.938,9.2732
33,0.0099,0.2352,0.671,0.0613,0.0042,0.3147,0.0001,0.0565,0.1445,0.0002,0.1409,0.2944,1.0405,1.9657,5.0048,0.5089,7.6497
34,0.0092,0.2231,0.6255,0.056,0.0015,0.2938,0.0001,0.0424,0.1452,0.0002,0.1379,0.2893,0.9769,1.8441,3.7866,0.5126,6.2614
35,0.009,0.2159,0.6138,0.052,0.0014,0.285,0.0001,0.0449,0.1355,0.0001,0.1309,0.2759,0.9351,1.7789,5.7496,0.8563,8.5113
36,0.0092,0.2221,0.6443,0.0546,0.0015,0.2879,0.0001,0.0431,0.1368,0.0001,0.133,0.2707,0.9378,1.821,6.6596,0.9537,9.555
37,0.0092,0.2281,0.634,0.0564,0.0041,0.2574,0.0001,0.0475,0.1383,0.0002,0.0897,0.2866,0.8983,1.7827,6.3669,0.8786,9.1523
38,0.0091,0.2219,0.653,0.0568,0.0017,0.2893,0,0.0449,0.1352,0.0002,0.1301,0.2637,0.935,1.8288,6.4922,0.5235,8.965
39,0.0091,0.2347,0.6091,0.0555,0.0015,0.2797,0.0001,0.0523,0.1349,0.0002,0.1328,0.283,0.9527,1.8136,4.0124,0.5296,6.4716
40,0.0105,0.1828,0.659,0.0589,0.0026,0.3069,0.0001,0.0499,0.1292,0.0002,0.1411,0.3004,1.0116,1.8746,6.3031,0.5302,8.8382
41,0.0093,0.2262,0.6371,0.0558,0.0015,0.3071,0.0001,0.0464,0.148,0.0002,0.1375,0.285,0.9921,1.8764,4.1498,0.5352,6.6777
