,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,Compute neighbours,Copy sorting indexes to CPU,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
0,0.0104,0.1048,0.6687,0.0502,0.003,0.2282,0.0001,0.073,0.1297,0.0002,0.2111,0.7169,0.1333,1.648,5.3552,0.44,7.5356
1,0.0091,0.2411,0.6415,0.0512,0.0019,0.2287,0.0001,0.0729,0.1276,0.0002,0.1957,0.695,0.1303,1.7276,2.891,0.4476,5.1792
2,0.0095,0.2154,0.6527,0.0471,0.0048,0.2758,0.0001,0.0607,0.1299,0.0002,0.2099,0.7459,0.1315,1.7673,2.9408,0.4466,5.2694
3,0.0094,0.2186,0.6596,0.0687,0.0036,0.2374,0.0001,0.0732,0.1341,0.0001,0.2185,0.7538,0.1332,1.7884,2.9099,0.4813,5.2999
4,0.0095,0.2257,0.6234,0.0451,0.0016,0.2213,0,0.0671,0.1263,0.0002,0.2082,0.6792,0.1199,1.6658,2.9011,0.4449,5.1241
5,0.0092,0.2183,0.6223,0.0445,0.0016,0.2108,0.0001,0.0648,0.122,0.0001,0.1905,0.6439,0.1228,1.6261,2.8922,0.4485,5.0819
6,0.0097,0.2239,0.6114,0.0482,0.0015,0.224,0.0001,0.0679,0.1289,0.0001,0.1927,0.6762,0.128,1.6627,2.9887,0.5393,5.3056
7,0.0102,0.2207,0.6491,0.0528,0.0033,0.2802,0.0001,0.0705,0.1312,0.0002,0.2051,0.7594,0.1273,1.7794,2.937,0.5087,5.3472
8,0.0114,0.1839,0.6617,0.0593,0.0039,0.2935,0.0001,0.0732,0.1208,0.0002,0.2108,0.7815,0.1255,1.777,5.3228,0.5159,7.7496
9,0.01,0.239,0.6499,0.0429,0.0019,0.2804,0.0001,0.0624,0.1297,0.0001,0.2103,0.7449,0.1155,1.7724,3.8024,0.5123,6.21
10,0.0092,0.2184,0.6188,0.0657,0.0062,0.2926,0.0001,0.0745,0.1262,0.0002,0.2243,0.8091,0.1187,1.7853,2.9852,0.5175,5.4097
11,0.0095,0.2343,0.6283,0.055,0.0021,0.2803,0.0002,0.0732,0.1318,0.0003,0.2178,0.7776,0.1192,1.7813,2.975,0.5062,5.3836
12,0.0099,0.2171,0.6427,0.0606,0.0042,0.2243,0.0001,0.0699,0.1296,0.0002,0.2127,0.7198,0.1325,1.7327,3.009,0.527,5.3922
13,0.0096,0.2152,0.6346,0.0552,0.002,0.279,0.0001,0.0671,0.1256,0.0002,0.2054,0.746,0.1244,1.7443,3.0595,0.5227,5.4476
14,0.0093,0.2169,0.6435,0.0522,0.0041,0.2903,0.0001,0.0738,0.1378,0.0002,0.2102,0.7876,0.1243,1.7911,3.0253,0.5175,5.4535
15,0.0104,0.2164,0.6345,0.0562,0.0017,0.2829,0.0001,0.0634,0.1341,0.0002,0.2018,0.7591,0.1269,1.7572,3.2217,0.518,5.6192
16,0.0104,0.1081,0.6654,0.0517,0.0023,0.2949,0.0001,0.0744,0.1255,0.0001,0.2211,0.7848,0.1199,1.7026,5.7556,0.901,8.4856
17,0.0097,0.2211,0.6455,0.0561,0.0015,0.2242,0.0002,0.0705,0.1304,0.0002,0.2064,0.6995,0.124,1.7098,5.8105,0.9023,8.5465
18,0.0094,0.2313,0.6243,0.0542,0.0016,0.2737,0.0001,0.068,0.1415,0.0002,0.2086,0.7617,0.1297,1.7689,3.2118,0.5233,5.625
