,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
0,0.0316,0.1747,0.3789,0.1613,0.1948,0.164,0.5276,0.0002,0.0001,0.0858,0.1989,1.3815,1.4178,5.3346,0.4536,7.3102
1,0.0278,0.3094,0.3586,0.1636,0.2476,0.1732,0.5913,0.0003,0.0001,0.0707,0.2055,1.5549,1.5865,3.4964,0.4585,5.6565
2,0.0275,0.2899,0.3351,0.1704,0.2363,0.1735,0.59,0.0003,0.0001,0.0847,0.211,1.5246,1.5556,3.1819,0.4566,5.3071
3,0.0272,0.2962,0.3618,0.1678,0.1836,0.1821,0.5431,0.0003,0.0002,0.0724,0.1982,1.4866,1.5173,2.9162,0.4539,5.0006
4,0.0272,0.2818,0.3332,0.1651,0.1847,0.1725,0.5316,0.0002,0.0002,0.0865,0.1998,1.4454,1.4759,2.8639,0.4621,4.9141
5,0.0271,0.2757,0.3366,0.166,0.1869,0.173,0.5315,0.0002,0.0002,0.0794,0.2027,1.4417,1.4721,3.0898,0.4549,5.1305
6,0.0272,0.2922,0.3522,0.163,0.1886,0.1757,0.5345,0.0003,0.0002,0.0882,0.2009,1.482,1.5123,2.8886,0.5506,5.0713
7,0.0272,0.3012,0.357,0.1964,0.2339,0.2022,0.6411,0.0002,0.0002,0.0762,0.1923,1.5825,1.613,2.9366,0.5575,5.2313
8,0.0328,0.2203,0.3945,0.1904,0.2357,0.1935,0.6291,0.0003,0.0001,0.0637,0.2012,1.5251,1.564,4.6651,0.5348,6.8933
9,0.0277,0.3017,0.3678,0.1832,0.1926,0.1916,0.5756,0.0002,0.0002,0.0824,0.2059,1.5456,1.5769,4.6364,0.5283,6.8679
10,0.0276,0.3073,0.3548,0.189,0.2147,0.1984,0.6056,0.0001,0.0001,0.0669,0.1935,1.5405,1.5712,2.9644,0.529,5.1839
11,0.0331,0.2721,0.3189,0.1941,0.2081,0.2046,0.6099,0.0002,0.0002,0.0756,0.2037,1.4912,1.5279,2.9853,0.529,5.1634
12,0.0297,0.2746,0.319,0.1891,0.1679,0.1984,0.5588,0.0001,0.0002,0.0865,0.1965,1.4429,1.4758,3.0168,0.5359,5.149
13,0.0281,0.2728,0.3194,0.1961,0.2111,0.2044,0.6145,0.0001,0.0001,0.0784,0.2123,1.5073,1.5385,3.071,0.5559,5.2855
14,0.0272,0.2794,0.3286,0.1819,0.2155,0.1988,0.5994,0.0001,0.0002,0.0854,0.1948,1.4966,1.5267,3.1371,0.5558,5.342
15,0.0274,0.2934,0.3297,0.1929,0.2116,0.2004,0.6079,0.0002,0.0002,0.0678,0.1879,1.495,1.5253,3.1923,0.5582,5.3963
16,0.0277,0.1532,0.3587,0.1934,0.2283,0.2063,0.6312,0.0002,0.0001,0.0782,0.1946,1.428,1.4651,5.5879,0.5628,7.742
17,0.0283,0.3112,0.3863,0.2008,0.1848,0.2096,0.6033,0.0002,0.0002,0.0839,0.2017,1.6017,1.6336,3.2933,0.5325,5.5889
18,0.028,0.2814,0.3673,0.1904,0.2346,0.1976,0.633,0.0003,0.0001,0.0871,0.2038,1.5863,1.6178,3.812,0.5427,6.0957
19,0.0271,0.283,0.3596,0.187,0.2227,0.1974,0.6136,0.0003,0.0001,0.0784,0.1959,1.5469,1.5773,3.2981,0.5373,5.536
20,0.027,0.3092,0.3492,0.2193,0.2195,0.2306,0.6728,0.0002,0.0002,0.0725,0.1934,1.609,1.6394,3.3589,0.5453,5.6629
21,0.0274,0.2873,0.3442,0.2167,0.2147,0.2324,0.6668,0.0002,0.0002,0.0785,0.2095,1.5957,1.626,3.3331,0.5395,5.6176
22,0.0271,0.2838,0.3277,0.2151,0.2055,0.2267,0.6503,0.0002,0.0001,0.0746,0.2029,1.5467,1.5769,3.4437,0.5421,5.6835
23,0.03,0.2762,0.3228,0.2103,0.1654,0.2197,0.5985,0.0002,0.0001,0.077,0.2002,1.4833,1.5163,3.3492,0.5707,5.5548
24,0.0285,0.1622,0.3582,0.2117,0.2206,0.2091,0.6463,0.0001,0.0002,0.0785,0.2032,1.4588,1.4919,5.0143,0.5528,7.1908
25,0.0285,0.2914,0.3776,0.2229,0.2412,0.2209,0.692,0.0002,0.0002,0.0807,0.2091,1.6674,1.6996,3.6642,0.5566,6.049
26,0.028,0.2886,0.3479,0.2098,0.1849,0.2227,0.6241,0.0002,0.0002,0.0787,0.2098,1.5626,1.5942,3.828,0.8717,6.4225
27,0.027,0.2999,0.3666,0.2151,0.2386,0.2236,0.6862,0.0002,0.0002,0.0753,0.2106,1.6575,1.6881,3.6133,0.5728,5.9942
28,0.0276,0.284,0.3386,0.2415,0.2252,0.2374,0.7122,0.0002,0.0002,0.0844,0.2058,1.6407,1.6718,3.6607,0.5508,6.0028
29,0.0273,0.2913,0.4181,0.2443,0.247,0.2375,0.74,0.0002,0.0001,0.0946,0.2291,1.7913,1.822,3.6486,0.5779,6.1682
30,0.0272,0.2758,0.3348,0.2188,0.2283,0.2195,0.6698,0.0002,0.0002,0.0734,0.1958,1.5577,1.5881,3.7481,0.5523,6.0068
31,0.0286,0.2748,0.3232,0.2208,0.1688,0.2301,0.6229,0.0002,0.0001,0.0661,0.1929,1.4882,1.52,3.9293,0.5482,6.1182
32,0.0272,0.2483,0.3757,0.2122,0.2335,0.2228,0.679,0.0003,0.0002,0.085,0.2174,1.6242,1.6554,5.189,0.546,7.5073
33,0.027,0.2933,0.3572,0.2296,0.2461,0.2281,0.7087,0.0001,0.0002,0.0895,0.2273,1.6867,1.7171,4.5382,0.5385,6.9114
34,0.027,0.2977,0.3449,0.2198,0.2241,0.229,0.6775,0.0002,0.0002,0.074,0.1997,1.6023,1.6322,4.4076,0.5415,6.6977
35,0.0277,0.292,0.339,0.219,0.2256,0.23,0.6777,0.0002,0.0001,0.0747,0.2117,1.6023,1.6329,3.9315,0.5483,6.2702
36,0.0274,0.2777,0.3165,0.2214,0.2091,0.2282,0.6617,0.0001,0.0001,0.0764,0.212,1.5523,1.5831,4.0107,0.5453,6.255
37,0.028,0.2723,0.323,0.2318,0.2214,0.2344,0.6907,0.0002,0.0001,0.0749,0.2018,1.5698,1.6007,4.0331,0.5519,6.2995
38,0.0278,0.2846,0.3211,0.2193,0.2257,0.2304,0.6787,0.0002,0.0001,0.0787,0.2092,1.5827,1.6136,4.0698,0.559,6.356
39,0.0278,0.2701,0.3316,0.2173,0.2172,0.2259,0.6635,0.0002,0.0001,0.0728,0.201,1.5504,1.5817,4.1765,0.5762,6.4502
40,0.0287,0.2679,0.3494,0.2101,0.2397,0.2224,0.6808,0.0003,0.0002,0.0649,0.2004,1.5813,1.615,6.1183,0.5685,8.4237
41,0.0281,0.2933,0.3736,0.2224,0.2491,0.2356,0.7152,0.0003,0.0002,0.0813,0.2136,1.6923,1.7275,4.9871,0.5633,7.3952
42,0.031,0.2854,0.3515,0.2207,0.2373,0.2349,0.7009,0.0002,0.0002,0.0735,0.2039,1.63,1.6645,4.2181,0.567,6.5627
43,0.027,0.2856,0.3457,0.2232,0.2336,0.2317,0.6975,0.0002,0.0002,0.082,0.2083,1.6333,1.6636,4.3825,0.5777,6.7368
44,0.027,0.2966,0.3776,0.2214,0.2398,0.2347,0.7028,0.0002,0.0001,0.0723,0.2115,1.6774,1.7076,4.4156,0.5831,6.822
45,0.0271,0.2979,0.3665,0.221,0.2328,0.2339,0.6985,0.0003,0.0002,0.0818,0.2004,1.6601,1.6908,4.4055,0.5849,6.7946
46,0.0272,0.2844,0.3476,0.2261,0.2605,0.2346,0.7314,0.0002,0.0002,0.0839,0.2209,1.68,1.7105,4.443,0.5965,6.8622
