,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
0,6.4806,14.0163,1.8607,22.8179
1,4.1829,12.3147,1.8953,18.8867
2,4.0999,12.3739,1.8589,18.8278
3,4.0664,12.28,1.8323,18.6738
4,4.0536,12.1764,1.8363,18.5543
5,4.0472,13.1197,1.8545,19.5174
6,5.3433,12.8968,3.7501,22.4756
7,4.1113,14.4152,2.0403,21.0999
8,4.6188,15.0516,2.2511,22.4043
9,4.1389,12.4126,2.0514,19.1292
10,4.2002,12.4657,2.0404,19.223
11,4.1415,12.4253,2.0317,19.1243
12,4.13,12.4117,2.0598,19.1229
13,4.1377,12.5235,2.066,19.2522
14,4.1669,12.8805,2.0557,19.6281
15,4.1547,12.6547,2.0541,19.3872
16,4.2204,16.0851,2.103,22.9076
17,4.2077,12.9585,2.0663,19.7526
18,4.2391,12.9837,2.0732,19.8238
19,4.2117,13.0487,2.0691,19.8512
20,4.2486,13.1744,2.0953,20.0422
21,4.3069,13.1107,2.0806,20.0096
22,4.2899,13.3178,2.1004,20.2312
23,4.2946,13.3573,2.0956,20.2653
24,6.7337,15.0336,2.0986,24.3546
25,4.3897,13.8106,2.0939,20.8176
26,4.2894,13.8427,2.1103,20.7658
27,4.3918,14.194,2.1066,21.2115
28,4.4566,14.4332,2.1281,21.5361
29,4.5053,14.1772,2.1268,21.3272
30,4.5061,14.1585,2.1351,21.3195
31,4.5053,14.1797,2.1355,21.3444
32,6.0732,16.339,2.1722,25.0802
33,4.5568,14.7861,2.2681,22.1394
34,4.56,14.7109,2.1753,21.9624
35,4.6989,14.8916,2.1984,22.3085
36,4.7284,15.2127,2.2017,22.6673
37,4.7122,15.1556,2.2295,22.6178
38,4.7186,15.4431,2.2418,22.9262
39,4.6838,15.5634,2.2586,23.0304
40,7.4523,17.1341,2.2539,27.3698
41,4.8784,16.1969,2.3048,23.9023
42,4.9575,16.283,2.3332,24.0937
43,4.969,17.9736,2.3388,25.8164
44,4.9552,16.9035,4.31,26.6906
45,7.3519,19.8173,4.2572,31.9479
46,5.0435,19.2598,4.3521,29.181
47,5.0498,16.9352,2.3427,24.857
48,5.4386,20.1146,2.4115,28.4629
49,5.1997,17.3953,2.3237,25.4355
50,5.1312,17.5578,2.3374,25.5407
51,5.2501,17.7277,2.3678,25.8572
52,5.1678,17.9039,2.3762,25.9625
53,5.2799,17.9869,2.381,26.157
54,5.3294,21.7564,2.4086,30.0033
55,5.5759,25.914,2.4036,34.4012
56,8.5373,19.3686,2.408,30.8006
57,5.4066,19.9319,2.4238,28.2632
58,5.4595,18.989,2.4567,27.404
59,5.3836,19.2837,2.4667,27.6401
60,5.5527,19.1959,2.4944,27.7391
61,5.5161,19.326,4.4145,29.7527
62,7.8172,21.2671,2.5113,32.0963
63,7.5187,27.7588,2.5473,38.3206
64,6.799,23.6782,2.614,33.609
65,5.5538,22.0417,2.5448,30.6399
66,5.5642,31.6479,4.3133,42.0249
67,5.6017,23.0041,2.5841,31.6834
68,5.6004,21.2539,2.5742,29.9288
69,5.8039,20.9761,2.5601,29.843
70,5.5878,19.6838,2.5747,28.3464
71,5.589,19.6076,2.554,28.2526
72,8.5842,20.9889,2.6862,32.75
73,5.7022,20.6039,2.6064,29.4233
74,5.6395,20.4216,2.5632,29.1241
75,5.6548,19.7408,2.565,28.4588
76,5.5941,19.7961,2.5626,28.45
77,5.6641,19.7645,2.5586,28.4881
78,5.6949,19.7815,2.6192,28.5976
79,5.6129,19.8724,2.561,28.5442
80,9.1419,20.4103,2.6161,32.6411
81,5.759,19.8905,2.5623,28.7095
82,5.6682,19.8129,2.5702,28.5509
83,5.692,19.8611,2.6099,28.661
84,5.6954,19.8838,2.5704,28.6536
85,5.6413,20.0899,2.596,28.8242
86,5.6512,19.8255,2.5898,28.57
87,5.6843,19.9607,2.5779,28.7265
88,9.027,20.4854,2.6072,32.6107
89,5.8052,25.9364,4.7204,36.9591
90,5.6773,23.5369,4.7725,34.4798
91,5.6651,22.2951,2.6047,31.0564
92,5.6852,19.8012,2.6126,28.6025
93,5.6673,19.9552,3.0042,29.1302
94,5.6825,19.9581,2.5894,28.7352
95,5.6876,20.4796,2.6036,29.2745
96,8.7035,26.8816,2.621,38.6759
97,7.0686,20.1323,2.5983,30.3023
98,5.7079,19.9674,2.6143,28.7918
99,5.7011,20.4737,2.6177,29.2926
100,5.7312,31.4483,4.881,42.567
101,5.7406,36.8318,4.8941,47.968
102,5.6862,36.8771,4.9278,47.9891
103,6.2682,37.1463,5.0253,48.9148
104,8.9609,36.9356,4.9492,51.3385
105,5.8246,36.9082,4.9271,48.1591
106,5.7166,37.2147,4.9015,48.3336
107,5.6851,36.9076,4.9377,48.0271
108,5.6858,36.9307,4.9156,48.0194
109,5.7375,36.9705,4.9196,48.125
110,5.7272,37.0315,4.8962,48.1517
111,5.7297,36.8775,4.9017,48.0107
112,6.6074,36.9947,4.8956,49.007
113,5.7487,36.9917,4.9516,48.1884
114,5.7267,36.9441,4.9101,48.0755
115,5.7028,36.9423,4.9552,48.0973
116,5.7504,36.9334,4.9328,48.1135
117,5.8113,36.9143,4.9197,48.1404
118,5.7278,36.8652,4.8988,47.9929
119,5.7087,36.8719,4.9002,47.9783
120,5.8422,36.862,4.9211,48.1234
121,5.6788,36.9006,4.9242,48.0796
122,5.8326,36.7314,4.8994,47.9689
123,5.7234,36.785,4.9064,47.9152
124,5.6753,36.7944,4.9064,47.8805
125,5.7318,36.6708,4.9128,47.8146
126,5.7081,36.7462,4.9429,47.8954
127,6.5995,36.6002,4.904,48.6089
128,8.854,36.6961,4.8863,50.9381
129,5.7983,36.694,4.9086,47.9102
130,5.7269,36.598,4.9381,47.7673
131,5.8982,36.5897,4.8649,47.8181
132,6.6007,36.7932,4.8551,48.7493
133,5.7576,36.6028,4.9504,47.8065
134,5.7617,36.7619,4.8953,47.8945
135,5.7285,36.6707,4.8775,47.7727
136,6.7596,36.6298,4.9147,48.8081
137,5.7246,36.5882,4.8778,47.6879
138,5.7234,36.6897,4.9297,47.8509
139,5.7897,36.6821,4.9303,47.9063
140,5.791,36.5645,4.8556,47.7138
141,5.7669,36.492,4.9206,47.6801
142,5.7593,36.5507,4.9155,47.7246
143,5.7661,36.6299,4.9582,47.8513
144,8.9703,36.7841,4.8904,51.1293
145,5.7525,36.4827,4.9211,47.6559
146,5.7179,36.4469,4.8494,47.5174
147,5.7596,36.5332,4.902,47.6983
148,5.7673,36.3616,4.8569,47.4869
149,5.7617,36.4449,4.8334,47.5426
150,5.7714,36.3893,4.9246,47.5911
151,5.753,36.5085,4.913,47.6732
152,6.1545,36.5577,4.9079,48.0763
153,5.8321,36.1494,4.8921,47.3773
154,5.7631,36.3131,4.8157,47.3913
155,5.7732,36.6821,4.9131,47.8749
156,7.096,36.4043,4.8388,48.8384
157,7.2063,36.1763,4.8479,48.7259
158,5.8061,36.2795,4.8367,47.4336
159,5.824,36.2135,4.8486,47.3844
160,8.9155,36.313,4.8222,50.5164
161,5.8056,36.2786,4.8743,47.4561
162,6.3735,36.2783,4.8786,48.0341
163,6.2708,36.4405,4.906,48.1166
164,6.3158,36.369,4.8197,48.0043
165,5.8835,36.2405,4.8235,47.449
166,8.2912,36.3634,4.8981,50.0584
167,5.7819,36.1191,4.8937,47.2984
168,8.8526,36.0262,4.9063,50.249
169,5.8095,36.118,4.7827,47.2037
170,5.7841,36.2365,4.7977,47.3284
171,5.7293,36.0994,4.8712,47.2033
172,5.7221,36.0622,4.8847,47.1722
173,5.6972,36.2323,4.8085,47.2437
174,5.7348,36.2421,4.7799,47.2608
175,5.7315,35.9163,4.7929,46.9475
176,9.2813,35.9392,4.7759,50.4678
177,5.7611,36.1808,4.8593,47.2981
178,5.7702,36.0936,4.8405,47.205
179,5.738,35.8143,4.8782,46.9278
180,5.7731,36.1081,4.7684,47.1495
181,8.8941,36.0183,4.8608,50.2762
182,7.592,36.0036,4.7631,48.8497
183,5.7634,35.7608,4.779,46.8032
184,8.8406,35.6589,4.8755,49.8487
185,8.9094,36.0201,4.7555,50.1923
186,5.7225,35.8623,4.784,46.8726
187,5.7968,36.0326,4.7641,47.101
188,5.8031,36.0728,4.7725,47.1542
189,5.7509,35.6712,4.764,46.6861
190,5.7691,35.7409,4.8738,46.8897
191,7.302,35.8902,4.8438,48.54
192,9.0931,35.3953,4.8557,49.8554
193,5.8275,35.7348,4.8152,46.8848
194,5.8327,35.5125,4.7672,46.6155
195,5.7238,35.4941,4.8195,46.5395
196,5.7078,35.5835,4.7536,46.5511
197,5.7036,35.7057,4.7396,46.6503
198,5.7311,35.8756,4.8368,46.9446
199,5.7395,35.7805,4.7309,46.753
200,9.1125,35.6983,4.8281,50.1134
201,5.804,35.5967,4.8482,46.7465
202,5.7747,35.4015,4.8416,46.5155
203,5.7641,35.4825,4.7488,46.4947
204,5.7412,35.8929,4.7156,46.8585
205,5.9284,35.5116,4.8089,46.7525
206,5.7252,35.4373,4.8145,46.472
207,5.7939,35.4567,4.7303,46.4906
208,7.0545,35.6765,4.8398,48.0884
209,5.8007,35.1556,4.7646,46.2217
210,6.0533,35.3969,4.7125,46.6667
211,5.7735,35.2258,4.8154,46.3154
212,5.7625,35.646,4.8096,46.7259
213,5.7827,35.3878,4.8082,46.4783
214,5.7823,35.6405,4.6909,46.614
215,5.7802,35.6128,4.7445,46.6392
216,8.9483,35.35,4.8356,49.6154
217,5.7652,35.176,4.6938,46.1403
218,5.757,35.3607,4.6854,46.3086
219,5.7571,35.671,4.697,46.6299
220,5.7592,35.5594,4.7844,46.6072
221,6.0687,35.6366,4.7964,47.0011
222,7.6416,35.4945,4.6741,48.3143
223,5.7246,35.3611,4.8099,46.4003
224,8.9022,34.8594,4.695,48.9739
225,5.7789,35.3499,4.7805,46.4191
226,5.8006,35.8715,4.9065,47.0876
227,5.8212,35.4292,4.7951,46.5537
228,5.8392,35.3325,4.6698,46.345
229,5.788,35.2095,4.6642,46.1644
230,5.7505,35.5907,4.8138,46.6626
231,5.7659,35.1814,4.6887,46.1361
232,6.0771,35.4192,4.6653,46.6371
233,5.7877,35.3779,4.7836,46.4562
234,5.7785,35.4603,4.7793,46.526
235,5.7236,35.5174,4.7673,46.508
236,5.7819,35.1988,4.6878,46.1734
237,5.8158,35.3281,4.8112,46.4592
238,5.7771,35.3476,4.7396,46.3684
239,5.7562,35.062,4.639,45.9617
240,7.0849,35.685,4.6373,47.9193
241,5.7625,35.091,4.7922,46.147
242,5.8365,34.7025,4.6394,45.6725
243,5.7185,34.9272,4.7596,45.9084
244,5.8014,34.9918,4.735,46.0321
245,7.3406,35.143,4.7709,47.7518
246,5.7621,34.858,4.6291,45.7529
247,5.7537,35.3439,4.6266,46.228
248,8.8926,35.0475,4.6266,49.0375
249,6.3351,34.8625,4.6131,46.3107
250,5.765,35.6375,4.7449,46.648
251,5.8487,35.5531,4.6376,46.5429
252,5.8014,35.1691,4.7327,46.2041
253,5.7045,34.5499,4.7473,45.512
