,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,Compute neighbours,Copy sorting indexes to CPU,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
0,0.0436,0.2406,1.0198,0.052,0.0014,0.2558,0,0.0801,0.1856,0.0002,0.4037,0.9891,0.1371,2.4436,16.6719,1.976,21.473
1,0.0372,0.4599,1.0247,0.0631,0.0019,0.2786,0.0002,0.0825,0.1976,0.0002,0.3991,1.0406,0.1618,2.7409,13.0624,1.9615,18.2289
2,0.0406,0.4571,1.146,0.0737,0.0018,0.3067,0.0001,0.1117,0.1988,0.0002,0.4166,1.131,0.1931,2.9814,12.9656,1.9688,18.393
3,0.0392,0.3423,1.115,0.0676,0.0032,0.2824,0.0001,0.091,0.2056,0.0002,0.4273,1.1025,0.1792,2.7927,12.9305,1.9801,18.1638
4,0.038,0.3514,1.1088,0.0587,0.0059,0.2958,0.0002,0.09,0.2029,0.0003,0.3971,1.074,0.1569,2.7444,13.8336,2.0554,19.1175
5,0.0373,0.3215,1.0627,0.0578,0.0047,0.3024,0.0001,0.0921,0.2055,0.0003,0.4128,1.0991,0.1569,2.6925,12.8468,1.9898,17.9956
6,0.0375,0.4035,1.0707,0.0527,0.0035,0.2704,0.0001,0.0735,0.2156,0.0002,0.4056,1.04,0.1448,2.7108,13.0907,2.2162,18.4855
7,0.0377,0.3282,1.0724,0.0561,0.0033,0.3227,0.0001,0.0922,0.2018,0.0002,0.4163,1.114,0.1644,2.7342,13.2368,2.1475,18.6211
8,0.0387,0.1386,1.0466,0.0574,0.0054,0.3138,0.0001,0.0746,0.1896,0.0002,0.395,1.0567,0.1629,2.4597,16.3224,2.1319,21.3698
9,0.04,0.3256,1.0787,0.0573,0.0019,0.3386,0.0001,0.0926,0.1919,0.0003,0.4066,1.1081,0.1473,2.7122,16.3144,2.1282,21.6544
10,0.0393,0.3225,1.0908,0.0551,0.0036,0.3482,0.0001,0.0927,0.2009,0.0002,0.4134,1.134,0.1466,2.7462,13.1004,2.1893,18.5303
11,0.0399,0.3127,1.0278,0.0506,0.0015,0.3229,0.0001,0.0723,0.1927,0.0001,0.4088,1.0627,0.1681,2.6275,13.1085,2.1211,18.3555
12,0.0369,0.2763,1.0811,0.0679,0.0042,0.3505,0.0001,0.095,0.1976,0.0002,0.4267,1.1685,0.1609,2.74,13.2879,2.1751,18.6914
13,0.0374,0.3629,1.0679,0.0658,0.0046,0.3019,0.0002,0.0916,0.2097,0.0002,0.4328,1.1314,0.1718,2.7852,13.9651,2.6432,19.8946
14,0.0378,0.4019,1.0968,0.0587,0.0025,0.3442,0.0001,0.088,0.1957,0.0002,0.4014,1.1098,0.1541,2.817,13.7973,2.1565,19.2691
15,0.0372,0.4997,1.0318,0.053,0.0036,0.3213,0.0001,0.0737,0.1985,0.0003,0.4188,1.0881,0.1419,2.8114,13.5817,2.1654,19.0499
16,0.0428,0.2353,1.0653,0.0471,0.0019,0.3184,0,0.0952,0.1889,0.0001,0.3972,1.0674,0.1488,2.5741,18.0736,2.1674,23.2726
17,0.0387,0.3326,1.0409,0.0551,0.0043,0.2805,0.0001,0.0772,0.2067,0.0002,0.4327,1.0768,0.1729,2.674,13.7323,2.1807,19.0802
18,0.0398,0.3253,1.0648,0.0629,0.0031,0.323,0.0001,0.0932,0.2016,0.0001,0.4092,1.1116,0.1617,2.7143,13.9031,2.1859,19.3051
19,0.0376,0.3228,1.0367,0.0564,0.0041,0.3345,0.0002,0.0956,0.2055,0.0002,0.4185,1.1344,0.1602,2.7049,14.4496,2.1739,19.8144
20,0.0371,0.3201,1.0849,0.0632,0.0033,0.333,0.0001,0.0886,0.2134,0.0001,0.417,1.1411,0.1574,2.7563,13.9836,2.1929,19.4223
21,0.0366,0.2547,1.0878,0.0524,0.0019,0.3387,0.0001,0.0889,0.2067,0.0003,0.4194,1.1296,0.1651,2.6893,14.1589,2.2028,19.5378
22,0.0386,0.3157,1.0964,0.0524,0.0018,0.3442,0.0001,0.0981,0.2096,0.0002,0.4112,1.1324,0.1524,2.7534,14.4906,2.1995,19.9345
23,0.0335,0.2742,1.0745,0.0619,0.0039,0.3498,0.0001,0.0891,0.2117,0.0002,0.4153,1.1572,0.1548,2.7065,14.3032,2.2087,19.7053
24,0.0276,0.2376,1.0793,0.061,0.0022,0.2772,0.0001,0.0774,0.1926,0.0001,0.4039,1.0335,0.1479,2.5414,22.4578,2.2687,27.7184
25,0.0317,0.3338,1.1108,0.0627,0.0044,0.3444,0.0002,0.0931,0.2106,0.0002,0.4311,1.1654,0.1504,2.8081,14.5892,2.1997,20.0867
26,0.0282,0.3323,1.0827,0.0606,0.0037,0.288,0.0001,0.0754,0.2095,0.0002,0.447,1.1066,0.1594,2.7252,14.5964,2.2481,20.0638
27,0.0378,0.3196,1.0603,0.053,0.003,0.3628,0.0001,0.0902,0.2131,0.0002,0.4325,1.1787,0.1609,2.7747,15.1891,2.2882,20.738
28,0.0385,0.3158,1.0606,0.0538,0.004,0.3412,0.0001,0.0871,0.2094,0.0002,0.4422,1.155,0.1508,2.7371,16.3613,2.2835,21.87
29,0.0373,0.3801,1.0862,0.0633,0.0018,0.3581,0.0001,0.097,0.2148,0.0002,0.4292,1.1804,0.1486,2.8452,15.1373,2.2664,20.7449
30,0.0375,0.3477,1.0519,0.0507,0.0016,0.3288,0.0001,0.0776,0.2038,0.0002,0.4107,1.0813,0.145,2.6697,15.2682,2.2617,20.686
31,0.0379,0.4674,1.1002,0.0526,0.0037,0.2999,0.0002,0.075,0.2112,0.0003,0.4401,1.1066,0.1707,2.8985,15.2102,2.2852,20.8854
32,0.0415,0.2306,1.029,0.0571,0.0065,0.349,0.0001,0.0932,0.2008,0.0002,0.4206,1.1475,0.1525,2.6155,21.7276,2.3217,27.0992
33,0.0384,0.3259,1.0887,0.0534,0.0023,0.3699,0.0002,0.0967,0.2172,0.0002,0.4214,1.2397,0.1526,2.8588,15.7615,2.3108,21.4294
34,0.0382,0.347,1.1303,0.0552,0.0035,0.3405,0.0001,0.0898,0.2116,0.0002,0.4439,1.169,0.1623,2.8611,15.8456,2.3157,21.5134
35,0.038,0.3308,1.0683,0.0553,0.0017,0.3399,0.0001,0.0922,0.2145,0.0002,0.4235,1.144,0.1547,2.7467,16.2294,2.3277,21.7971
36,0.0377,0.324,1.0347,0.0582,0.0016,0.3185,0.0001,0.0746,0.2087,0.0002,0.4084,1.08,0.1453,2.6334,16.3449,2.3398,21.8081
37,0.0375,0.3442,1.0568,0.0606,0.0062,0.3006,0.0001,0.0944,0.2145,0.0002,0.4368,1.1378,0.1633,2.7542,16.4295,2.3749,22.0453
38,0.0366,0.3236,1.0589,0.0563,0.0018,0.3654,0.0001,0.0974,0.2151,0.0002,0.4295,1.1853,0.1628,2.7791,17.8556,2.4213,23.5475
39,0.037,0.3188,1.0669,0.0517,0.0016,0.3328,0.0001,0.0713,0.2065,0.0001,0.4267,1.1006,0.1499,2.6872,16.8313,2.4166,22.4288
40,0.0417,0.141,1.0729,0.0585,0.002,0.3464,0.0001,0.0849,0.1999,0.0001,0.4219,1.1333,0.1499,2.5526,26.6095,2.426,32.0357
41,0.0389,0.3264,1.045,0.056,0.0034,0.3169,0.0001,0.0788,0.2221,0.0002,0.4315,1.1244,0.1543,2.7006,17.7142,2.4466,23.3482
42,0.0403,0.3205,1.0435,0.0548,0.0021,0.3306,0.0001,0.0784,0.2091,0.0002,0.424,1.1147,0.1498,2.6825,17.4642,2.4641,23.0992
43,0.0393,0.4082,1.1065,0.0614,0.0024,0.3575,0.0001,0.0965,0.2277,0.0002,0.4445,1.2115,0.185,2.9639,17.5802,2.4833,23.4925
44,0.0384,0.4798,1.1013,0.0549,0.0034,0.3501,0.0001,0.1071,0.2189,0.0002,0.4466,1.2052,0.1685,3.011,19.0073,2.4978,25.0072
45,0.0404,0.3846,1.0775,0.0532,0.0038,0.3451,0.0001,0.0893,0.2125,0.0002,0.4447,1.1696,0.1579,2.8433,18.3749,2.5111,24.2203
46,0.0391,0.326,1.0673,0.0654,0.0021,0.3636,0.0002,0.0926,0.2193,0.0002,0.4424,1.21,0.1659,2.8212,18.374,2.5235,24.2085
47,0.0398,0.3372,1.0703,0.0519,0.0041,0.3584,0.0001,0.079,0.2179,0.0002,0.4691,1.2016,0.1634,2.826,18.4407,2.5152,24.2707
48,0.0633,0.303,1.0697,0.0516,0.0033,0.3392,0.0001,0.0839,0.2098,0.0002,0.4536,1.1628,0.1603,2.7793,24.3483,4.3599,31.9625
49,0.0406,0.3291,1.1187,0.0544,0.0018,0.3448,0.0001,0.085,0.2148,0.0003,0.4421,1.1624,0.1462,2.8099,20.8303,2.5342,26.6589
50,0.042,0.3372,1.0751,0.0561,0.0045,0.34,0.0001,0.0751,0.2192,0.0002,0.4344,1.1475,0.1542,2.7695,24.7585,4.6248,32.6424
51,0.0393,0.3922,1.0667,0.0641,0.0027,0.3618,0.0001,0.0959,0.2126,0.0003,0.4648,1.2269,0.164,2.9061,21.7337,2.5727,27.684
