,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
0,0.1344,0.2251,2.2977,0.0586,0.0026,0.3772,0.0001,0.0651,0.384,0.0002,0.7978,1.0279,2.7417,5.4136,46.8753,6.5,60.5314
1,0.1023,0.4005,2.204,0.0521,0.0016,0.3617,0.0001,0.0549,0.3712,0.0002,0.8006,1.0577,2.7108,5.4248,41.3972,6.5398,55.0193
2,0.0986,0.3982,2.1694,0.0549,0.0015,0.4014,0.0001,0.0561,0.3702,0.0001,0.8421,1.0549,2.796,5.4692,41.7152,6.6337,55.4918
3,0.1021,0.4705,2.1982,0.0519,0.0018,0.3977,0.0001,0.0544,0.3748,0.0001,0.8563,1.0532,2.8032,5.586,41.4802,6.487,55.2591
4,0.0956,0.4035,2.2315,0.0607,0.006,0.4236,0.0002,0.0592,0.3721,0.0001,0.8515,1.0561,2.8512,5.5939,41.3949,6.516,55.1803
5,0.1246,0.445,2.1719,0.0619,0.0016,0.3625,0.0001,0.0549,0.3739,0.0002,0.8005,1.0503,2.7176,5.4666,41.6498,6.5074,55.3044
6,0.0956,0.4026,3.1539,0.0528,0.0015,0.3533,0.0001,0.054,0.3733,0.0002,0.7988,1.0565,2.7047,6.3642,41.3341,6.9376,56.3191
7,0.0944,0.5066,2.1888,0.0515,0.0016,0.3677,0.0001,0.0548,0.3737,0.0002,0.803,1.0452,2.709,5.5073,41.6419,7.0045,55.8965
8,0.0987,0.3177,2.2373,0.0554,0.0037,0.4387,0.0002,0.0643,0.3666,0.0002,0.843,1.0594,2.8559,5.5246,46.1349,7.0422,60.4538
9,0.0979,0.402,2.1817,0.0587,0.0016,0.4015,0.0001,0.0533,0.3728,0.0001,0.8474,1.0545,2.8039,5.4931,42.0688,6.9841,56.308
10,0.0954,0.3979,2.1859,0.0528,0.0016,0.4154,0.0002,0.053,0.376,0.0002,0.8548,1.046,2.8111,5.4971,41.8967,7.0314,56.2028
11,0.0966,0.3971,2.1716,0.0529,0.0014,0.4121,0,0.0541,0.3748,0.0001,0.8432,1.0551,2.8042,5.477,41.8684,7.0609,56.1919
12,0.095,0.3943,2.1529,0.0524,0.0014,0.4052,0.0001,0.0561,0.3763,0.0001,0.8522,1.0459,2.7987,5.4471,43.4868,12.2889,62.9971
13,0.0944,0.4064,2.2188,0.0623,0.0038,0.3799,0.0002,0.0582,0.3861,0.0002,0.8102,1.0578,2.7803,5.5131,49.4194,10.8891,67.6159
14,0.0943,0.8009,2.5354,0.0552,0.0019,0.4233,0.0001,0.058,0.3855,0.0002,0.851,1.0736,2.8697,6.3121,56.3594,7.0575,71.5226
15,0.0982,0.8525,2.3047,0.0616,0.0038,0.4333,0.0002,0.0631,0.3931,0.0002,0.8637,1.0937,2.9323,6.1993,46.9477,8.0443,62.9684
16,0.1018,0.2286,2.2225,0.0582,0.0022,0.4202,0.0002,0.0574,0.3941,0.0002,0.8525,1.0472,2.8544,5.4217,47.8266,7.0083,61.9631
17,0.096,0.4249,2.2439,0.0527,0.0019,0.3777,0.0002,0.0609,0.3914,0.0002,0.8061,1.0739,2.7876,5.5639,42.8841,7.033,57.2435
18,0.0953,0.412,2.21,0.0581,0.0016,0.4091,0.0001,0.0545,0.392,0.0001,0.853,1.0641,2.849,5.5798,43.3762,7.1206,57.8398
19,0.0969,0.408,2.2452,0.0567,0.0039,0.4172,0.0001,0.0551,0.3919,0.0003,0.8519,1.0734,2.8748,5.6376,43.442,7.069,57.9163
20,0.097,0.4373,2.2488,0.0524,0.0031,0.4439,0.0001,0.0605,0.4101,0.0002,0.857,1.0834,2.9341,5.728,43.8194,7.1022,58.4017
21,0.096,0.3987,2.2107,0.0541,0.0038,0.4314,0.0001,0.0566,0.3953,0.0002,0.8793,1.0711,2.9147,5.6319,44.68,7.2108,59.2731
22,0.0961,0.3969,2.1939,0.0565,0.0031,0.4267,0.0001,0.058,0.4038,0.0003,0.8726,1.0711,2.9115,5.6103,44.3673,7.1985,58.922
23,0.099,0.4706,2.2136,0.0616,0.0035,0.4243,0.0001,0.0597,0.4027,0.0003,0.8738,1.0769,2.9251,5.72,44.6577,7.2003,59.3307
