,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
0,0.0065,0.1922,0.6412,0.0531,0.0022,0.2566,0.0001,0.0438,0.1266,0.0002,0.0738,0.2639,0.8493,1.7012,1.6669,0.2516,3.674
1,0.0061,0.2133,0.6029,0.0552,0.0021,0.2899,0.0001,0.051,0.1085,0.0002,0.1249,0.2411,0.892,1.7246,1.7046,0.2483,3.7506
2,0.0062,0.2185,0.5828,0.049,0.0025,0.238,0.0002,0.0497,0.106,0.0002,0.0741,0.2487,0.7871,1.6045,1.8283,0.2528,3.7588
3,0.0061,0.2135,0.5929,0.0499,0.0018,0.2287,0.0001,0.0478,0.1074,0.0002,0.0813,0.2532,0.7882,1.6092,2.2614,0.2455,4.1856
4,0.0059,0.2178,0.5635,0.044,0.0017,0.2159,0.0001,0.0442,0.1034,0.0002,0.0764,0.2428,0.7402,1.5371,1.6055,0.3556,3.5718
5,0.0062,0.202,0.557,0.0442,0.0015,0.2187,0,0.0515,0.1088,0.0001,0.0713,0.2273,0.733,1.5034,1.5315,0.2501,3.3521
6,0.006,0.2002,0.5219,0.0461,0.0014,0.2195,0,0.0434,0.1053,0.0002,0.075,0.2212,0.7208,1.4533,1.5633,0.2717,3.3536
7,0.0056,0.2053,0.548,0.0533,0.0016,0.2688,0.0001,0.0485,0.1042,0.0002,0.1219,0.2433,0.8525,1.6221,1.57,0.2797,3.5418
8,0.0062,0.0851,0.5954,0.055,0.0023,0.2344,0.0001,0.0488,0.1149,0.0002,0.077,0.2498,0.8051,1.5035,2.2418,0.2882,4.1099
9,0.0064,0.2146,0.6004,0.0555,0.0038,0.2858,0.0002,0.0488,0.1116,0.0002,0.1223,0.2454,0.8938,1.7236,2.6091,0.2863,4.6926
10,0.0059,0.2156,0.5909,0.0567,0.0041,0.2774,0.0001,0.0484,0.1099,0.0003,0.1235,0.2414,0.8847,1.7068,1.6379,0.289,3.7081
11,0.0059,0.2091,0.5942,0.0598,0.0019,0.2749,0.0001,0.0483,0.1096,0.0002,0.1218,0.2499,0.8866,1.705,1.7611,0.285,3.8256
12,0.0062,0.2163,0.6086,0.0578,0.0019,0.2304,0.0001,0.0484,0.1086,0.0003,0.0771,0.2602,0.8052,1.6461,1.7646,0.295,3.7816
13,0.0061,0.211,0.5917,0.0561,0.0037,0.2791,0.0001,0.048,0.1226,0.0002,0.1225,0.2467,0.8939,1.7124,1.6973,0.2813,3.7632
14,0.0058,0.207,0.5311,0.0525,0.0014,0.2621,0.0001,0.0437,0.123,0.0001,0.1163,0.2381,0.8497,1.5986,1.6646,0.2873,3.6219
15,0.006,0.2113,0.5919,0.0557,0.0033,0.2782,0.0002,0.0486,0.1243,0.0002,0.1188,0.2332,0.8816,1.7019,1.688,0.4054,3.8675
16,0.0067,0.1726,0.6149,0.0601,0.0021,0.2499,0.0001,0.0505,0.118,0.0002,0.088,0.2482,0.834,1.641,2.1256,0.2956,4.1445
17,0.0061,0.2155,0.5943,0.0615,0.0032,0.2844,0.0001,0.0515,0.1285,0.0003,0.1262,0.2444,0.9195,1.7436,1.8292,0.2937,3.9441
18,0.0061,0.2059,0.5755,0.0592,0.0025,0.2903,0.0001,0.047,0.1233,0.0003,0.1276,0.2409,0.9089,1.7039,1.8593,0.2961,3.9351
19,0.0061,0.2124,0.5822,0.0628,0.0026,0.3044,0.0001,0.053,0.1333,0.0001,0.124,0.2492,0.9478,1.7578,1.89,0.2987,4.0217
20,0.006,0.2128,0.5982,0.0593,0.0019,0.3205,0.0001,0.0517,0.1335,0.0001,0.1189,0.2417,0.9431,1.7683,2.3414,0.2979,4.48
21,0.0058,0.207,0.5746,0.0621,0.0016,0.293,0,0.0548,0.1323,0.0002,0.1177,0.2508,0.9249,1.7189,1.8609,0.2942,3.9441
22,0.0057,0.217,0.5471,0.0545,0.0014,0.2846,0.0001,0.0445,0.1306,0.0002,0.1162,0.2379,0.8795,1.6556,1.8753,0.2872,3.8876
23,0.0063,0.2094,0.5464,0.0523,0.0016,0.2395,0.0001,0.0435,0.1308,0.0002,0.0742,0.2395,0.795,1.5631,1.8667,0.2914,3.7909
24,0.0068,0.1734,0.5633,0.054,0.0017,0.2806,0.0002,0.0449,0.1221,0.0002,0.1245,0.2277,0.8712,1.6279,3.1119,0.454,5.276
25,0.0059,0.2183,0.5975,0.0578,0.0019,0.3195,0.0002,0.0462,0.1523,0.0002,0.1269,0.255,0.9796,1.8089,2.0891,0.2886,4.2603
26,0.0061,0.2141,0.5837,0.0606,0.0038,0.3002,0.0001,0.0497,0.1337,0.0002,0.1216,0.2439,0.9331,1.7453,2.4931,0.2874,4.5978
27,0.006,0.21,0.5757,0.0559,0.004,0.3146,0.0001,0.0497,0.1423,0.0002,0.1273,0.252,0.9654,1.7643,2.0611,0.2887,4.1826
28,0.0059,0.2038,0.574,0.0572,0.0031,0.297,0.0001,0.0488,0.1336,0.0002,0.1253,0.2358,0.9217,1.7137,2.0784,0.2812,4.1435
29,0.006,0.2135,0.5891,0.059,0.0018,0.3049,0.0001,0.0459,0.141,0.0003,0.1246,0.2389,0.9363,1.7545,2.0996,0.2891,4.213
30,0.0059,0.1871,0.5793,0.0588,0.0039,0.2962,0.0001,0.0506,0.1308,0.0003,0.1229,0.2301,0.9124,1.6936,2.1621,0.3154,4.2415
31,0.006,0.2138,0.5846,0.053,0.0039,0.2516,0.0002,0.0532,0.1423,0.0002,0.0786,0.2307,0.8331,1.6473,2.1333,0.2926,4.142
32,0.0068,0.17,0.5902,0.0617,0.006,0.3038,0.0001,0.0479,0.1302,0.0003,0.1219,0.2461,0.9371,1.7171,3.3414,0.2966,5.4367
33,0.0061,0.2276,0.6038,0.0511,0.0018,0.2999,0.0001,0.0455,0.1288,0.0003,0.1263,0.2482,0.9209,1.7675,2.2898,0.2977,4.4271
34,0.0063,0.2143,0.583,0.0582,0.0024,0.3108,0.0001,0.0468,0.1377,0.0002,0.1356,0.2562,0.9659,1.8217,2.4152,0.2984,4.6067
35,0.0061,0.2051,0.5722,0.057,0.0032,0.3032,0.0001,0.0504,0.1342,0.0002,0.1264,0.2471,0.9421,1.7337,3.342,0.5447,5.687
36,0.006,0.2032,0.5745,0.0593,0.0033,0.2943,0.0001,0.0496,0.1338,0.0001,0.1261,0.2566,0.9405,1.7322,4.0022,0.5338,6.335
37,0.0061,0.214,0.6126,0.0556,0.0031,0.3214,0.0002,0.045,0.1493,0.0002,0.1308,0.2404,0.9671,1.8099,2.3439,0.3061,4.5266
38,0.0059,0.2046,0.5527,0.0537,0.0016,0.2996,0.0001,0.043,0.129,0.0002,0.1265,0.236,0.9019,1.6736,3.9778,0.5057,6.2287
