,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
0,0.0194,0.1716,0.369,0.1655,0.1854,0.1735,0.5328,0.0002,0.0002,0.0696,0.1612,1.3189,1.3428,3.0279,0.26,4.688
1,0.0199,0.2841,0.3462,0.1756,0.183,0.1825,0.549,0.0002,0.0001,0.0846,0.1722,1.4547,1.4778,1.6685,0.2626,3.4795
2,0.0198,0.2757,0.336,0.1759,0.2132,0.19,0.5905,0.0003,0.0002,0.0835,0.1734,1.4724,1.4951,2.0527,0.4608,4.0788
3,0.0194,0.3182,0.3485,0.1804,0.235,0.182,0.6075,0.0003,0.0002,0.071,0.1796,1.5405,1.5626,1.6152,0.2601,3.5052
4,0.0186,0.2784,0.3441,0.1781,0.1855,0.1822,0.5528,0.0003,0.0001,0.0843,0.1839,1.4597,1.481,1.6103,0.2667,3.4273
5,0.0188,0.271,0.3314,0.178,0.1918,0.1793,0.5582,0.0003,0.0002,0.0826,0.1638,1.4205,1.442,1.5892,0.2554,3.3539
6,0.0186,0.268,0.3233,0.1798,0.1865,0.1791,0.5519,0.0002,0.0002,0.0763,0.1763,1.4102,1.4316,1.6222,0.2914,3.4116
7,0.0197,0.2744,0.3235,0.1957,0.2445,0.2044,0.6564,0.0002,0.0002,0.1031,0.1824,1.5553,1.5781,1.6459,0.3057,3.604
8,0.0206,0.1589,0.35,0.191,0.2306,0.2015,0.6285,0.0003,0.0002,0.0659,0.1857,1.4047,1.4295,2.3081,0.315,4.1305
9,0.02,0.285,0.3418,0.2057,0.179,0.2052,0.5954,0.0002,0.0001,0.0695,0.1789,1.4822,1.5052,3.0881,0.4679,5.1394
10,0.0188,0.2838,0.3277,0.1995,0.2234,0.208,0.6412,0.0002,0.0002,0.0604,0.1607,1.4867,1.5086,1.6821,0.3243,3.5876
11,0.0209,0.2766,0.3227,0.1997,0.2332,0.2067,0.6456,0.0001,0.0002,0.0844,0.1786,1.5244,1.5483,1.8302,0.3147,3.7696
12,0.0188,0.2739,0.3246,0.1974,0.1705,0.2008,0.5716,0.0002,0.0002,0.073,0.1651,1.4159,1.4372,1.7066,0.3163,3.5329
13,0.0201,0.2809,0.3154,0.1977,0.2048,0.2158,0.6257,0.0003,0.0002,0.0768,0.1736,1.4828,1.5053,1.7022,0.3121,3.5906
14,0.0201,0.2696,0.3156,0.2045,0.2184,0.2042,0.6301,0.0002,0.0001,0.0634,0.1665,1.4526,1.4751,1.7912,0.31,3.6468
15,0.0218,0.2639,0.299,0.2018,0.2107,0.2038,0.6192,0.0001,0.0001,0.0742,0.1587,1.422,1.4483,2.4305,0.3054,4.2569
16,0.0202,0.2062,0.3339,0.1864,0.2156,0.2025,0.6077,0.0002,0.0001,0.0646,0.1534,1.3736,1.3975,2.4884,0.3167,4.2765
17,0.0186,0.2809,0.3394,0.1982,0.1732,0.2026,0.5771,0.0002,0.0002,0.0653,0.1622,1.4324,1.4535,1.8692,0.3171,3.7117
18,0.0214,0.3119,0.3234,0.1994,0.2179,0.206,0.6262,0.0002,0.0001,0.0556,0.1608,1.4848,1.5084,1.8809,0.3125,3.7737
19,0.0204,0.2711,0.3151,0.1937,0.2169,0.2035,0.617,0.0001,0.0001,0.0797,0.1714,1.4608,1.4834,1.8942,0.3184,3.7671
20,0.0211,0.2693,0.3109,0.2117,0.2184,0.2188,0.6517,0.0001,0.0001,0.0653,0.1722,1.4777,1.5011,2.6765,0.3092,4.5582
21,0.0204,0.2936,0.3085,0.2135,0.2225,0.2183,0.6571,0.0002,0.0001,0.0708,0.1693,1.5061,1.5287,1.8635,0.3089,3.7715
22,0.021,0.2676,0.3195,0.2131,0.2063,0.2163,0.6386,0.0002,0.0001,0.0789,0.1983,1.5113,1.5345,1.9542,0.2982,3.8569
23,0.019,0.2698,0.3018,0.2093,0.1806,0.2171,0.6115,0.0002,0.0002,0.0773,0.1685,1.4358,1.4572,1.9105,0.3079,3.7455
24,0.019,0.2397,0.3207,0.2131,0.2319,0.2122,0.6637,0.0003,0.0001,0.0753,0.1583,1.4655,1.4882,2.5923,0.3077,4.4606
25,0.0193,0.2768,0.3287,0.2152,0.2203,0.2211,0.6596,0.0002,0.0001,0.0783,0.17,1.5209,1.5428,2.0808,0.3076,4.0082
26,0.021,0.2781,0.3179,0.208,0.2154,0.2096,0.636,0.0002,0.0001,0.0728,0.1702,1.4819,1.5051,2.0685,0.3041,3.9475
27,0.0203,0.2706,0.3197,0.204,0.2169,0.215,0.6388,0.0002,0.0001,0.0644,0.1778,1.4778,1.5003,2.5442,0.3003,4.4189
28,0.0192,0.2985,0.321,0.2066,0.2118,0.2182,0.6395,0.0001,0.0002,0.0682,0.1651,1.4991,1.5204,2.143,0.3015,4.0338
29,0.0206,0.2685,0.3164,0.2192,0.2172,0.2263,0.6657,0.0002,0.0002,0.0648,0.1713,1.4932,1.5159,2.2073,0.3066,4.0989
30,0.022,0.2663,0.3069,0.2114,0.2146,0.2105,0.6393,0.0002,0.0002,0.0713,0.1679,1.4583,1.4824,2.2096,0.3041,4.065
31,0.02,0.2665,0.313,0.2017,0.1706,0.2115,0.5898,0.0002,0.0001,0.0645,0.1681,1.4096,1.4319,2.4575,0.3099,4.269
32,0.0193,0.2689,0.3592,0.2043,0.2157,0.2099,0.6331,0.0002,0.0002,0.0768,0.1692,1.5168,1.5403,2.8177,0.3139,4.7461
33,0.0194,0.2784,0.3312,0.2065,0.2154,0.2109,0.6358,0.0002,0.0002,0.0789,0.1833,1.5145,1.5363,2.3245,0.3177,4.247
34,0.0204,0.278,0.3117,0.2132,0.2118,0.2223,0.6502,0.0001,0.0001,0.0644,0.1722,1.4836,1.5063,2.3674,0.317,4.2586
35,0.0214,0.2843,0.3036,0.2148,0.2076,0.2202,0.6455,0.0002,0.0002,0.0566,0.1667,1.4634,1.487,2.3914,0.3239,4.3154
36,0.021,0.2684,0.3094,0.2016,0.2171,0.2131,0.6347,0.0002,0.0001,0.0715,0.169,1.4604,1.4846,2.689,0.3247,4.5674
37,0.0201,0.2744,0.2953,0.2056,0.2131,0.2074,0.6291,0.0001,0.0002,0.0728,0.1634,1.4416,1.4639,2.673,0.3201,4.5249
38,0.0209,0.2699,0.2969,0.2102,0.2351,0.2202,0.6685,0.0002,0.0002,0.0678,0.1744,1.4843,1.5074,2.4074,0.3236,4.3053
39,0.0196,0.2644,0.31,0.2024,0.2111,0.2101,0.6264,0.0001,0.0001,0.0686,0.1748,1.4511,1.4728,2.4183,0.3222,4.2795
40,0.0199,0.2574,0.368,0.2193,0.2163,0.2134,0.6581,0.0003,0.0002,0.0745,0.1787,1.5546,1.5786,3.9737,0.3314,5.9549
41,0.0188,0.2948,0.3467,0.2167,0.2125,0.221,0.6542,0.0002,0.0002,0.0677,0.187,1.5665,1.5885,3.1772,0.3324,5.1676
42,0.0194,0.2761,0.3409,0.2064,0.2289,0.2144,0.6585,0.0002,0.0002,0.0803,0.1875,1.5609,1.5832,2.4917,0.3317,4.4753
43,0.0227,0.2687,0.3212,0.2074,0.2273,0.2112,0.6544,0.0002,0.0002,0.0792,0.1744,1.5084,1.534,2.4199,0.3382,4.3595
44,0.0193,0.2831,0.3301,0.2132,0.2311,0.2128,0.6654,0.0002,0.0002,0.0719,0.1747,1.5399,1.5618,2.4348,0.3334,4.3994
45,0.0193,0.2735,0.3346,0.216,0.2251,0.2156,0.6637,0.0002,0.0001,0.0683,0.1666,1.5208,1.5428,2.4737,0.3332,4.4178
46,0.0196,0.2689,0.3332,0.2093,0.2223,0.2106,0.6517,0.0002,0.0002,0.0672,0.1787,1.5135,1.5358,2.4942,0.3361,4.4346
47,0.0201,0.2739,0.3225,0.2107,0.229,0.2142,0.6627,0.0003,0.0001,0.0825,0.1889,1.5455,1.5683,2.4868,0.3365,4.4599
48,0.0188,0.1709,0.3641,0.2006,0.2289,0.2025,0.6404,0.0003,0.0002,0.0868,0.191,1.4767,1.5003,3.3155,0.3398,5.2251
49,0.0191,0.2832,0.324,0.2095,0.2209,0.2244,0.658,0.0002,0.0002,0.0763,0.1792,1.5287,1.5502,2.5592,0.3444,4.5215
50,0.0199,0.2716,0.3469,0.2105,0.246,0.2247,0.6842,0.0001,0.0001,0.0803,0.1863,1.5763,1.5985,3.8189,0.333,5.8188
51,0.0206,0.2796,0.3149,0.2059,0.2206,0.2187,0.6482,0.0002,0.0002,0.0636,0.1702,1.4845,1.5074,2.4925,0.3424,4.4123
52,0.0216,0.2645,0.3052,0.205,0.2125,0.2094,0.6298,0.0002,0.0002,0.0661,0.1779,1.4512,1.475,2.4992,0.3377,4.3789
53,0.0206,0.2655,0.3018,0.2072,0.2186,0.2138,0.6424,0.0002,0.0001,0.076,0.163,1.4556,1.4784,2.493,0.3398,4.3784
54,0.0203,0.2601,0.3094,0.204,0.209,0.2148,0.6307,0.0002,0.0001,0.0734,0.1624,1.4428,1.4653,2.5068,0.341,4.3823
55,0.0229,0.2633,0.3029,0.2016,0.2121,0.2161,0.6327,0.0002,0.0002,0.0639,0.1658,1.4353,1.4604,2.5221,0.3403,4.3925
56,0.0196,0.2593,0.3527,0.1904,0.2149,0.2069,0.6154,0.0002,0.0001,0.0702,0.1971,1.504,1.5274,3.3874,0.3539,5.3361
57,0.0191,0.2787,0.3314,0.209,0.2272,0.2127,0.653,0.0002,0.0002,0.0684,0.1961,1.5368,1.5586,4.2464,0.3487,6.2279
58,0.0202,0.2882,0.322,0.2017,0.2179,0.2128,0.6354,0.0001,0.0001,0.0721,0.1802,1.5048,1.5273,2.5927,0.3402,4.528
59,0.0198,0.2678,0.3056,0.1984,0.2116,0.2093,0.6221,0.0001,0.0002,0.0663,0.1737,1.4431,1.4652,2.5886,0.3456,4.4671
60,0.0202,0.2638,0.304,0.2015,0.213,0.2126,0.63,0.0002,0.0001,0.0672,0.1763,1.4486,1.4709,2.5839,0.3436,4.4664
61,0.0214,0.2658,0.311,0.2045,0.2179,0.2173,0.6425,0.0002,0.0002,0.0679,0.1738,1.4676,1.4912,2.5338,0.3422,4.4353
62,0.022,0.2703,0.3005,0.2045,0.2131,0.2154,0.6359,0.0002,0.0002,0.0616,0.1622,1.4372,1.4616,2.5267,0.3403,4.3961
63,0.0212,0.2618,0.2949,0.2035,0.2124,0.2142,0.6336,0.0001,0.0002,0.0842,0.1798,1.4654,1.489,2.586,0.3475,4.491
64,0.0196,0.2455,0.3249,0.1927,0.2155,0.1989,0.61,0.0002,0.0002,0.0707,0.1936,1.4593,1.4829,3.3003,0.3436,5.1985
65,0.0201,0.287,0.356,0.2044,0.2433,0.2142,0.6725,0.0003,0.0002,0.086,0.1895,1.6085,1.6316,4.2122,0.337,6.2534
66,0.0189,0.2846,0.3345,0.2021,0.2274,0.2121,0.65,0.0002,0.0001,0.0628,0.1833,1.5302,1.5519,2.5144,0.3427,4.4772
67,0.0185,0.2765,0.3093,0.201,0.2131,0.208,0.6253,0.0002,0.0001,0.0773,0.1843,1.4811,1.5022,2.5353,0.3408,4.446
68,0.0208,0.2753,0.3052,0.2037,0.2144,0.2162,0.6372,0.0002,0.0002,0.072,0.1642,1.462,1.4852,2.5353,0.3507,4.4395
69,0.0195,0.2704,0.3051,0.2048,0.2162,0.211,0.6349,0.0002,0.0001,0.0621,0.1648,1.4442,1.466,2.5417,0.3448,4.4205
70,0.0196,0.2748,0.3015,0.2073,0.2144,0.2101,0.6346,0.0001,0.0001,0.0733,0.1705,1.4619,1.4837,2.5321,0.3441,4.4279
71,0.0205,0.2658,0.3179,0.2012,0.208,0.2102,0.6232,0.0002,0.0001,0.0638,0.1725,1.4864,1.5094,2.546,0.3451,4.4689
72,0.0192,0.149,0.343,0.1964,0.2373,0.2064,0.6445,0.0002,0.0001,0.0775,0.1719,1.3939,1.417,4.2943,0.346,6.1233
73,0.019,0.2784,0.329,0.2043,0.1756,0.2161,0.6004,0.0002,0.0002,0.073,0.1644,1.4538,1.4752,3.043,0.346,4.9334
74,0.019,0.2698,0.3038,0.2058,0.1636,0.2095,0.582,0.0002,0.0002,0.0617,0.173,1.3973,1.4187,2.5767,0.3477,4.4127
75,0.0201,0.2719,0.3083,0.2011,0.1693,0.2131,0.5863,0.0002,0.0001,0.0707,0.1725,1.4165,1.4388,2.5378,0.3398,4.3843
76,0.0208,0.2692,0.3091,0.2067,0.2164,0.2106,0.6367,0.0001,0.0001,0.0731,0.1928,1.4888,1.5119,2.5209,0.3403,4.4409
77,0.0221,0.2656,0.3086,0.2061,0.1669,0.2141,0.59,0.0002,0.0001,0.0709,0.1696,1.4117,1.4359,2.7409,0.3502,4.596
78,0.022,0.2658,0.2966,0.2031,0.1641,0.2106,0.5808,0.0001,0.0001,0.0627,0.171,1.3837,1.4079,2.5514,0.3448,4.3726
79,0.0211,0.2656,0.3,0.2,0.2135,0.2073,0.6238,0.0002,0.0002,0.0719,0.1726,1.4465,1.4703,2.5463,0.3479,4.4338
80,0.0197,0.2537,0.3514,0.1997,0.1974,0.2036,0.6096,0.0003,0.0002,0.0758,0.1721,1.4813,1.5051,4.4048,0.3474,6.3302
81,0.0187,0.2896,0.3425,0.2062,0.1885,0.2158,0.6187,0.0003,0.0002,0.0716,0.1855,1.5215,1.5429,2.6019,0.3527,4.5733
