,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
0,0.0202,0.1716,0.3101,0.3505,0.1708,0.2019,0.1786,0.5576,0.0003,0.0002,0.0761,0.1584,1.6394,1.6629,2.7539,0.2752,4.749
1,0.0205,0.3135,0.2942,0.3123,0.1829,0.2198,0.1894,0.5979,0.0002,0.0002,0.0583,0.1689,1.7597,1.7834,1.6467,0.2803,3.7783
2,0.0224,0.2937,0.2828,0.3113,0.1792,0.1799,0.1853,0.5493,0.0002,0.0001,0.0657,0.1685,1.6825,1.7079,1.6522,0.2797,3.7079
3,0.0231,0.2942,0.2831,0.3093,0.1738,0.1683,0.1814,0.5276,0.0002,0.0002,0.0659,0.17,1.6615,1.6874,2.0552,0.2772,4.0858
4,0.0216,0.3027,0.2863,0.3028,0.1848,0.2188,0.1868,0.5949,0.0002,0.0002,0.0865,0.1737,1.7582,1.7824,1.6962,0.2794,3.8217
5,0.0191,0.2945,0.2944,0.3069,0.1769,0.1736,0.1819,0.5365,0.0001,0.0002,0.0658,0.1685,1.6791,1.7008,1.6188,0.2863,3.6693
6,0.0211,0.2954,0.2926,0.3141,0.1758,0.1729,0.1862,0.5402,0.0001,0.0002,0.0649,0.1599,1.6859,1.7096,1.6332,0.2932,3.699
7,0.0197,0.2922,0.2803,0.2969,0.198,0.23,0.2091,0.6427,0.0001,0.0001,0.071,0.1659,1.7574,1.7796,1.6753,0.3063,3.8282
8,0.0211,0.1614,0.3006,0.3255,0.1889,0.2272,0.1939,0.6161,0.0003,0.0001,0.0759,0.1876,1.6809,1.7067,2.8403,0.4507,5.0703
9,0.0205,0.2996,0.2896,0.3094,0.1975,0.1771,0.2035,0.5814,0.0002,0.0002,0.073,0.1716,1.7399,1.7634,2.4629,0.3148,4.6094
10,0.0207,0.293,0.2892,0.2966,0.2034,0.2109,0.2007,0.6182,0.0002,0.0001,0.0756,0.1839,1.7651,1.7882,1.6716,0.3165,3.8436
11,0.0204,0.2976,0.2846,0.2967,0.1956,0.2125,0.2067,0.6195,0.0002,0.0001,0.0658,0.1679,1.7425,1.7656,1.639,0.3149,3.7872
12,0.0212,0.2931,0.2898,0.3326,0.2066,0.1778,0.2067,0.6004,0.0002,0.0002,0.0756,0.1765,1.7876,1.8117,1.6673,0.3084,3.8555
13,0.02,0.2923,0.2851,0.311,0.1971,0.2171,0.2092,0.6291,0.0002,0.0002,0.0747,0.1666,1.7705,1.7935,1.7085,0.3122,3.8822
14,0.021,0.2955,0.2894,0.2961,0.2031,0.2177,0.2106,0.6362,0.0002,0.0001,0.0673,0.1685,1.7645,1.7883,1.699,0.3105,3.8653
15,0.0209,0.2917,0.2866,0.2989,0.1996,0.2147,0.2042,0.6241,0.0002,0.0001,0.0665,0.1857,1.7634,1.787,1.768,0.3109,3.9336
16,0.02,0.2148,0.2974,0.3162,0.1897,0.2176,0.2002,0.6123,0.0003,0.0002,0.0673,0.1797,1.7003,1.7245,3.344,0.5603,5.7001
17,0.02,0.3095,0.2881,0.3129,0.2014,0.1753,0.2043,0.5876,0.0002,0.0002,0.0886,0.183,1.7854,1.8081,1.8303,0.3105,4.0171
