,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
0,0.8034,1.2037,13.4751,0.0571,0.0036,0.6799,0.0001,0.0699,1.9382,0.0001,5.7956,5.852,14.408,29.903,345.736,55.8184,441.955
1,0.745,1.5973,13.0046,0.0632,0.0072,0.9295,0.0002,0.0924,1.9445,0.0002,5.9062,5.7994,14.7694,30.1339,345.447,55.9707,444.126
2,0.7724,1.5954,13.2024,0.065,0.0033,0.7258,0.0001,0.0768,1.9291,0.0002,5.6023,5.8011,14.2274,29.8153,350.48,55.5086,448.63
3,0.7866,1.5981,13.0944,0.0695,0.0062,0.9303,0.0001,0.0917,1.9423,0.0003,5.748,5.8069,14.6193,30.1167,347.568,56.147,446.786
4,0.7531,1.725,13.9833,0.0631,0.0032,0.7291,0.0001,0.0768,1.9297,0.0002,5.9353,5.813,14.5729,31.0531,350.494,56.3978,450.823
5,0.7462,1.6629,13.0432,0.0724,0.0043,0.9135,0.0001,0.0895,1.9478,0.0003,5.9043,5.8077,14.7659,30.2417,349.616,56.6067,449.303
6,0.7891,1.6147,12.6547,0.0589,0.0024,0.7159,0.0001,0.0725,1.9281,0.0001,5.6578,5.8085,14.2623,29.3398,353.164,56.9303,452.232
7,0.7949,1.564,12.8169,0.0598,0.0029,0.926,0.0002,0.0836,1.9328,0.0002,5.7241,5.8027,14.5443,29.7371,350.278,58.5133,451.502
8,0.7729,1.0473,13.0784,0.1452,0.0045,0.666,0.0001,0.0713,1.9298,0.0002,5.9306,5.9027,14.6648,29.5788,346.038,57.8828,444.688
9,0.7537,1.6025,13.006,0.0638,0.0023,0.9592,0.0001,0.0846,1.9363,0.0002,5.9371,5.8037,14.8048,30.1856,352.611,57.5865,453.323
10,0.79,1.6527,12.805,0.0676,0.0044,0.7692,0.0001,0.0804,1.9346,0.0003,5.893,5.8104,14.5855,29.8558,350.587,58.1274,451.698
11,0.7737,1.6749,12.8699,0.0743,0.0045,0.9583,0.0001,0.0854,1.9421,0.0003,6.0336,5.8088,14.9337,30.2731,350.848,58.2862,452.306
12,0.7956,1.7508,14.351,0.0607,0.0045,0.7666,0.0001,0.0754,1.9443,0.0003,5.9969,5.8248,14.6994,31.616,348.629,57.9087,451.193
13,0.7934,1.6136,13.1279,0.0662,0.0044,0.9272,0.0002,0.0966,1.9513,0.0002,6.0599,5.8173,14.9463,30.5011,349.122,61.6106,454.409
14,0.772,1.6774,12.4974,0.0665,0.0032,0.7613,0.0001,0.0777,1.9323,0.0003,6.0065,5.8201,14.6927,29.658,349.696,58.0703,450.493
15,0.7698,1.5881,12.9124,0.0636,0.0031,0.9552,0.0002,0.0848,1.953,0.0003,6.0263,5.8395,14.9491,30.2364,351.714,58.1727,453.382
16,0.7997,1.0479,13.0674,0.0856,0.0044,0.698,0.0001,0.0748,1.9508,0.0002,6.0084,5.8954,14.7313,29.6621,355.175,57.9723,453.941
17,0.7712,1.532,12.9995,0.0698,0.004,0.9044,0.0001,0.0871,1.9635,0.0002,5.9731,5.8444,14.8644,30.1898,352.616,57.9645,453.838
18,0.7768,1.7308,13.9735,0.0623,0.0031,0.827,0.0001,0.0706,1.9538,0.0003,6.0293,5.8345,14.7983,31.3004,355.478,62.7501,462.67
19,0.77,1.5803,13.0046,0.0617,0.0052,0.9778,0.0001,0.088,1.9684,0.0002,6.0201,5.849,14.9939,30.3678,356.348,58.5483,458.251
20,0.7997,1.5167,12.715,0.0631,0.0051,0.7783,0.0001,0.0737,1.9311,0.0002,5.9836,5.8573,14.718,29.7692,354.675,58.3072,455.873
21,0.7532,1.6202,13.1455,0.0655,0.0046,0.9984,0.0002,0.0894,1.9765,0.0002,6.0877,5.8684,15.1222,30.661,361.048,58.622,463.608
22,0.7389,1.5729,12.8116,0.0628,0.0047,0.7982,0.0001,0.0742,1.9714,0.0002,6.063,5.8879,14.8881,30.0293,358.852,58.6196,460.558
23,0.7846,1.5485,13.2009,0.0609,0.0067,0.9977,0.0002,0.0871,1.9825,0.0002,6.0884,5.9386,15.185,30.7423,366.157,58.8806,468.851
24,0.8004,1.0401,13.527,0.0586,0.0047,0.6944,0.0004,0.0733,1.9654,0.0002,6.0217,5.9063,14.7389,30.123,357.148,58.2551,456.642
25,0.7839,1.5983,13.0385,0.0584,0.0026,0.9811,0.0001,0.0843,1.9952,0.0001,6.1129,5.9116,15.1631,30.5987,361.931,59.1765,464.734
26,0.7613,1.7812,14.2783,0.0592,0.0047,0.7406,0.0001,0.0777,1.9775,0.0002,6.062,5.8953,14.8423,31.6843,363.019,59.0964,466.801
27,0.7626,1.7098,13.1275,0.0694,0.0039,0.9891,0.0001,0.0877,2.0065,0.0002,6.0963,5.8894,15.1676,30.7895,361.413,58.9867,464.338
28,0.7912,1.9371,14.097,0.0693,0.004,0.7868,0.0002,0.0775,1.9757,0.0003,6.1012,5.8986,14.9371,31.7829,369.524,59.1184,473.435
29,0.7723,1.5592,13.1132,0.0657,0.0046,1.014,0.0001,0.0857,1.9906,0.0002,6.1702,5.909,15.2627,30.7252,367.876,59.3296,471.139
30,0.7398,1.598,12.697,0.0588,0.0032,0.7868,0.0001,0.0841,1.9642,0.0003,6.1891,5.9133,15.0237,30.0806,374.441,59.8683,477.615
31,0.79,1.5638,13.0804,0.0602,0.0027,0.933,0.0002,0.0874,1.9996,0.0002,6.1352,5.9012,15.1347,30.5908,369.74,59.7132,473.094
32,0.8028,1.0393,13.758,0.0695,0.0044,0.7899,0.0001,0.0686,1.9932,0.0001,6.2427,5.9651,15.2443,30.859,374.272,63.5777,479.807
33,0.7376,1.5532,12.71,0.0624,0.0038,0.9616,0.0001,0.0848,1.9956,0.0003,6.2462,5.9329,15.303,30.3237,373.402,60.0925,476.923
34,0.8057,1.7792,14.2688,0.0548,0.0051,0.7771,0.0001,0.079,2.002,0.0002,6.2576,5.9676,15.1682,32.0427,372.28,60.271,477.867
35,0.7751,1.7522,13.1975,0.081,0.0041,1.0059,0.0001,0.0886,2.0007,0.0003,6.2303,5.9584,15.3924,31.1356,381.179,60.3707,485.772
36,0.7488,1.7556,14.4595,0.0634,0.0065,0.7945,0.0002,0.078,2.0044,0.0002,6.2858,6.0056,15.2627,32.2449,377.08,60.5149,483.037
37,0.8241,1.5835,12.8907,0.0594,0.0023,0.9182,0.0001,0.0858,1.9965,0.0001,6.1952,5.9593,15.2322,30.5482,381.668,60.0764,485.325
38,0.7873,1.7278,14.0111,0.0603,0.0037,0.7867,0,0.0747,2.008,0.0003,6.3117,5.9969,15.2579,31.8019,381.132,60.7918,486.746
