,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
0,1.2595,1.6216,1.3941,5.4627,0.2359,3.9842,9.6866,0.0002,0.0001,0.3334,5.5042,18.5515,19.819,359.474,63.7213,456.758
1,1.433,2.3169,0.8426,5.4258,0.2384,4.8685,10.5371,0.0002,0.0002,0.3052,5.5497,19.5698,21.0127,361.533,64.2836,462.831
2,1.4342,2.4273,1.1534,5.7491,0.2124,4.2901,10.2624,0.0002,0.0002,0.315,5.4892,19.6675,21.1119,362.255,61.8939,461.2
3,1.4316,2.1378,0.8315,5.3957,0.2355,4.7852,10.4274,0.0003,0.0001,0.3321,5.4953,19.2451,20.6863,362.085,65.0393,463.943
4,1.4328,2.3276,1.3572,5.6557,0.2155,4.4919,10.3731,0.0003,0.0001,0.3251,5.5062,19.91,21.3529,363.169,63.8924,464.267
5,1.4105,2.3335,0.8484,5.4171,0.2108,4.8698,10.5088,0.0003,0.0002,0.3255,5.5582,19.5951,21.0152,362.738,63.5761,463.14
6,1.4179,2.3647,1.3843,5.6303,0.2143,3.8682,9.7225,0.0002,0.0002,0.3059,5.4943,19.294,20.7204,369.72,62.8875,469.337
7,1.4313,2.3151,0.8642,5.25,0.242,4.5975,10.1005,0.0004,0.0002,0.3262,5.4908,19.1175,20.5594,363.57,63.1094,463.444
8,1.283,1.4898,1.3166,5.3158,0.2727,4.2805,9.872,0.0001,0.0001,0.3492,5.5109,18.5469,19.8397,360.792,65.728,460.625
9,1.4252,2.2668,0.877,5.402,0.2497,4.8325,10.4962,0.0003,0.0001,0.3121,5.5281,19.5015,20.9364,363.769,65.5169,466.499
10,1.4153,2.3567,1.1573,5.784,0.2568,4.2089,10.2593,0.0003,0.0002,0.3259,5.4978,19.6183,21.043,363.761,65.8746,466.775
