,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours (Excluding),Compute neighbours,neighborhood search (Excluding),neighborhood search, constraint projection,XSPH viscosity computation,SimStep (Excluding),SimStep
0,0.8071,1.1482,13.4427,0.0575,0.0081,0.718,0.0001,0.0728,1.9343,0.0002,5.9283,5.8523,,14.5913,,30.0051,350.016,55.1477,,449.661
1,0.7808,1.5932,12.7814,0.062,0.0032,0.9487,0.0001,0.0894,1.9569,0.0002,5.9832,5.8527,,14.9186,,30.0959,349.791,54.1545,,451.295
2,0.7835,1.8535,14.0663,0.063,0.0049,0.8,0.0001,0.0722,1.9228,0.0003,5.8792,5.8134,,14.585,,31.3065,338.33,59.479,,446.2
3,0.7692,1.6204,13.1652,0.0634,0.005,0.9215,0.0001,0.0858,1.9454,0.0002,5.8348,5.8178,,14.6981,,30.2706,338.847,53.828,,439.691
4,0.7639,1.552,13.0514,0.0718,0.0028,0.7151,0.0002,0.0699,1.9256,0.0001,5.7329,5.7938,,14.3263,,29.7139,342.021,53.9143,,442.625
5,0.749,1.5891,12.9799,0.0589,0.0027,0.9169,0.0001,0.0836,1.9395,0.0004,5.9493,5.7921,,14.7583,,30.091,350.283,53.5078,,450.727
6,0.7681,1.589,12.762,0.0581,0.0052,0.7238,0.0002,0.0719,1.9277,0.0002,5.9293,5.8037,,14.5404,,29.6741,343.289,55.0277,,445.198
7,0.8052,1.6025,13.1325,0.062,0.0044,0.9823,0.0001,0.0834,1.9198,0.0002,5.8884,5.8059,,14.7663,,30.3228,348.961,55.6102,,452.168
8,0.8168,1.1316,12.9421,0.0813,0.0045,0.7312,0.0001,0.0703,1.9391,0.0002,5.895,5.9015,,14.6397,,29.5471,339.36,55.1205,,440.498
9,0.7857,1.6186,12.9022,0.061,0.0044,0.9821,0.0002,0.0867,1.9391,0.0002,5.8791,5.8661,,14.8427,,30.1673,338.408,55.3607,,440.562
10,0.7705,1.7435,13.8825,0.057,0.0037,0.7488,0.0001,0.0794,1.9337,0.0002,5.8743,5.8188,,14.5334,,30.9495,346.48,55.3548,,449.699
11,0.7768,1.6141,12.9306,0.0685,0.0052,0.9472,0.0001,0.0833,1.9388,0.0002,5.9034,5.8502,,14.8155,,30.1547,340.407,55.2545,,442.898
12,0.7539,1.5757,12.9136,0.0587,0.0044,0.7644,0,0.0752,1.9415,0.0003,5.9406,5.8252,,14.6381,,29.8999,346.397,55.162,,448.347
