Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,s,Compute neighbours,Copy sorting indexes to CPU,s,neighborhood search, constraint projection,XSPH viscosity computation,s,SimStep
0.7844,1.0281,13.1093,0.0585,0.0035,0.6753,0.0001,0.308,1.9461,0.0001,5.586,,8.5884,0.5975,,24.1202,386.887,58.022,,479.503
0.7867,1.6532,12.8553,0.0605,0.0048,0.9301,0.0001,0.3258,1.9411,0.0001,5.519,,8.7961,0.5947,,24.7045,374.862,58.421,,470.872
0.7847,1.7402,14.0766,0.0529,0.004,0.7722,0.0002,0.3122,1.9259,0.0003,5.5111,,8.6002,0.5967,,25.8159,376.927,64.9135,,480.517
0.7826,1.7206,12.9392,0.0599,0.0039,0.9319,0.0001,0.3134,1.9329,0.0002,5.559,,8.8235,0.5966,,24.8808,378.43,58.7283,,475.052
0.7799,1.6708,13.8112,0.0587,0.0063,0.7305,0.0003,0.3091,1.9167,0.0002,5.5124,,8.5585,0.6006,,25.4409,381.993,58.7971,,479.212
0.7796,1.5593,12.8134,0.0575,0.0027,0.8954,0.0001,0.3078,1.9222,0.0001,5.4979,,8.6953,0.5919,,24.4537,382.531,58.8639,,478.619
0.782,1.6648,13.664,0.0533,0.0033,0.7149,0.0001,0.3263,1.9138,0.0002,5.5083,,8.5313,0.588,,25.2465,385.817,59.8472,,483.768
0.7802,1.4587,12.9454,0.0606,0.0027,0.9757,0.0001,0.3167,1.9231,0.0002,5.4986,,8.789,0.5915,,24.5785,388.355,60.2811,,486.288
0.8991,1.042,13.2392,0.0593,0.0025,0.7033,0.0001,0.349,1.9354,0.0001,5.5289,,8.5865,0.6056,,24.3824,379.233,60.1304,,474.537
0.7903,1.5145,12.7518,0.0636,0.0024,0.9449,0.0001,0.3112,1.9409,0.0001,5.5244,,8.8019,0.6005,,24.475,384.961,60.0967,,482.626
0.7809,1.5292,12.6543,0.0574,0.0036,0.7426,0.0001,0.3141,1.9433,0.0002,5.5134,,8.5977,0.5921,,24.1732,385.211,61.2609,,483.663
0.7844,1.5125,12.8509,0.0603,0.0042,0.9826,0.0001,0.3107,1.9398,0.0002,5.5292,,8.8495,0.5998,,24.6151,392.919,61.0697,,491.814
0.7853,1.6726,13.7284,0.0616,0.0051,0.8048,0.0001,0.3156,1.937,0.0003,5.5251,,8.6724,0.5925,,25.4694,388.98,61.3631,,489.108
0.8024,1.5806,13.1133,0.0649,0.0056,0.9317,0.0001,0.3172,1.9387,0.0002,5.5194,,8.8019,0.5973,,24.9135,391.058,61.7029,,491.138
0.7821,1.7416,13.7841,0.0527,0.0023,0.7491,0.0001,0.3137,1.9287,0.0002,5.5092,,8.5739,0.5902,,25.489,384.292,60.9328,,483.947
0.7822,1.5196,12.8166,0.061,0.0024,0.9818,0.0001,0.3214,1.9628,0.0003,5.5336,,8.8831,0.5921,,24.6143,391.914,64.5185,,494.314
0.7704,1.023,13.3743,0.0585,0.0035,0.6831,0,0.3004,1.9414,0.0001,5.5411,,8.5432,0.6348,,24.3583,396.791,61.5047,,493.451
0.7866,1.5486,12.7567,0.0602,0.0024,0.9117,0.0001,0.3165,1.9641,0.0002,5.5484,,8.819,0.5948,,24.5215,398.665,62.2022,,498.467
0.8088,1.662,13.8854,0.0593,0.0025,0.7398,0.0001,0.3039,1.9711,0.0002,5.5345,,8.6258,0.5883,,25.5857,403.906,61.7199,,504.285
0.7844,1.5765,12.5896,0.0603,0.0025,0.9167,0.0002,0.3071,1.9831,0.0003,5.6278,,8.9124,0.5954,,24.4738,398.032,61.7422,,497.339
