Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Overhead,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Overhead,Run hipNSearch,Overhead,neighborhood search,constraint projection,XSPH viscosity computation,Overhead,SimStep
1.2761,1.675,1.0495,5.603,0.3045,4.3749,,10.2855,0.0002,0.0001,0.3575,5.5049,,18.8803,,20.1651,348.498,56.0002,,437.612
1.4277,2.2445,0.8605,5.4144,0.2521,4.7775,,10.4552,0.0003,0.0001,0.3179,5.4973,,19.3982,,20.837,357.25,56.3406,,450.197
1.4248,2.5037,1.363,5.4164,0.2045,4.0969,,9.7223,0.0002,0.0001,0.3074,5.4998,,19.4185,,20.8521,350.416,56.4517,,443.513
1.4126,2.3452,0.8448,5.2729,0.1838,4.6155,,10.0768,0.0002,0.0001,0.3065,5.4987,,19.0904,,20.5119,357.594,55.9976,,449.835
1.4187,2.6281,0.818,5.4648,0.2029,4.1941,,9.8676,0.0001,0.0002,0.3133,5.49,,19.1331,,20.561,351.839,56.045,,443.989
1.4316,2.19,0.858,5.2257,0.1921,4.5792,,10.0049,0.0002,0.0002,0.3171,5.4977,,18.8919,,20.3318,352.066,59.6078,,447.612
1.4389,2.2568,0.8406,5.4309,0.2158,3.921,,9.5811,0.0003,0.0001,0.3241,5.492,,18.5153,,19.9646,351.705,57.7356,,445.132
1.4388,2.299,0.8217,5.451,0.2466,4.9268,,10.6337,0.0001,0.0001,0.3165,5.4957,,19.5878,,21.0348,353.51,58.7546,,449.217
1.2675,1.6676,1.0639,5.5187,0.2766,4.9159,,10.714,0.0001,0.0001,0.3465,5.4998,,19.3,,20.5769,358.547,58.2316,,450.763
1.4294,2.1067,0.839,5.4193,0.3399,4.7848,,10.55,0.0002,0.0002,0.3116,5.4906,,19.3179,,20.7544,351.861,58.4771,,446.879
1.4123,2.3821,1.2253,5.7642,0.2544,4.1518,,10.1748,0.0003,0.0001,0.3052,5.5114,,19.6176,,21.0435,354.946,62.0183,,453.991
1.4186,2.2519,0.8207,5.4758,0.1978,4.9496,,10.6272,0.0002,0.0004,0.3134,5.5025,,19.5262,,20.9548,354.136,58.8195,,449.778
1.4241,2.0289,0.7973,5.4331,0.2408,3.6933,,9.3715,0.0002,0.0002,0.3096,5.5071,,18.0292,,19.4619,355.57,58.9547,,449.989
1.4373,2.2853,0.8179,5.5039,0.1992,4.9972,,10.7047,0.0004,0.0003,0.3053,5.5159,,19.6406,,21.0876,364.514,59.3019,,460.979
1.4381,2.3805,1.4221,5.4441,0.2474,4.2257,,9.921,0.0001,0.0002,0.3033,5.5124,,19.5558,,21.0031,356.956,59.4766,,453.569
1.408,2.1662,0.8114,5.4634,0.2445,4.8703,,10.5822,0.0004,0.0004,0.3349,5.525,,19.4319,,20.8477,362.76,58.9791,,458.48
1.2588,1.5169,1.0777,5.6295,0.3722,4.8238,,10.8292,0.0001,0.0001,0.3169,5.5433,,19.2916,,20.5572,353.403,58.7229,,446.291
1.4283,2.1607,0.8473,5.5347,0.2703,4.8449,,10.6603,0.0003,0.0001,0.3251,5.5278,,19.5453,,20.9825,356.847,59.2709,,453.215
1.4382,2.116,0.8382,5.5179,0.253,3.6891,,9.4724,0.0002,0.0001,0.3068,5.5416,,18.2964,,19.7442,367.719,59.183,,462.688
1.4454,2.296,0.8608,5.5671,0.2599,4.9704,,10.8078,0.0003,0.0001,0.3262,5.5393,,19.8483,,21.3061,360.033,59.3544,,456.843
1.4887,2.2388,1.1759,5.6092,0.2325,4.118,,9.9699,0.0002,0.0001,0.3248,5.5332,,19.2663,,20.765,368.037,59.3575,,464.347
1.4187,2.3346,0.8714,5.735,0.246,5.0705,,11.0631,0.0003,0.0002,0.3083,5.5593,,20.1555,,21.5826,361.601,59.305,,458.464
1.4055,2.5177,1.1592,5.7837,0.3029,4.4022,,10.4992,0.0002,0.0001,0.3081,5.5627,,20.0672,,21.481,368.926,59.6088,,465.997
1.4468,2.2966,0.8542,5.729,0.2442,5.0944,,11.0782,0.0002,0.0002,0.3276,5.5636,,20.1423,,21.5975,364.967,59.7581,,462.497
1.266,1.6683,1.2921,5.702,0.222,4.8552,,10.7883,0.0002,0.0001,0.3628,5.5509,,19.6714,,20.947,361.685,59.4297,,455.601
1.4405,2.1869,0.867,5.6635,0.241,4.9072,,10.8185,0.0002,0.0002,0.3175,5.5759,,19.788,,21.2369,375.472,59.8118,,472.577
1.4269,2.3564,1.1718,5.9633,0.2173,4.325,,10.513,0.0002,0.0001,0.3172,5.574,,19.9592,,21.3959,366.942,59.8534,,464.131
1.4294,2.2078,0.8559,5.7043,0.3434,4.9549,,11.0141,0.0003,0.0001,0.3245,5.5802,,20.0102,,21.4493,369.36,59.8888,,466.674
1.4162,2.6149,0.8119,5.7629,0.2638,4.3614,,10.3986,0.0002,0.0002,0.3082,5.5909,,19.7425,,21.1677,369.003,59.901,,466.101
