,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Overhead,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Overhead,Run hipNSearch,Overhead,neighborhood search,constraint projection,XSPH viscosity computation,Overhead,SimStep
0,1.2892,1.7393,7.9024,0.7608,2.8122,0.1594,3.3396,,6.3183,0.0003,0.0003,0.385,5.6565,,22.7729,,24.0716,363.377,57.5539,,455.367
1,1.455,2.3472,7.9604,0.6216,3.8452,0.2243,3.8373,,7.913,0.0002,0.0003,0.3161,5.4854,,24.6558,,26.1214,352.289,56.5148,,447.844
2,1.4573,2.2698,8.0307,0.6548,2.6007,0.185,3.3206,,6.1101,0.0002,0.0003,0.4758,5.4868,,23.0422,,24.5074,354.738,56.5564,,448.627
3,1.4304,2.227,7.6577,0.5614,3.6741,0.1709,3.7402,,7.5909,0.0005,0.0002,0.3129,5.483,,23.8475,,25.2885,350.187,56.5403,,444.747
4,1.4521,2.1479,7.8677,0.731,2.5071,0.1337,2.8157,,5.4604,0.0003,0.0003,0.3182,5.4805,,22.0176,,23.4768,359.023,56.4898,,451.798
5,1.4372,2.2505,7.8649,0.6823,3.757,0.149,3.8262,,7.7464,0.0004,0.0002,0.3248,5.4839,,24.3679,,25.8148,351.093,56.264,,446.025
6,1.4163,2.1951,7.8142,0.61,2.5377,0.1676,2.8132,,5.5224,0.0002,0.0002,0.3132,5.4828,,21.9613,,23.3881,354.535,57.3435,,447.98
7,1.4302,2.1477,7.5842,0.6832,3.6737,0.162,3.7084,,7.5536,0.0003,0.0003,0.3273,5.485,,23.8076,,25.2484,352.759,58.9833,,449.902
8,1.2954,1.5415,7.7864,0.9075,2.4961,0.2424,3.4177,,6.1591,0.0002,0.0002,0.3572,5.4998,,22.2604,,23.5653,351.626,58.5545,,444.46
9,1.4242,2.1809,7.4021,0.6226,3.541,0.1936,3.7077,,7.4514,0.0004,0.0003,0.378,5.4934,,23.5502,,24.9847,359.082,58.6091,,455.67
10,1.4587,2.3372,8.0389,0.6772,2.5887,0.2484,3.3195,,6.1682,0.0003,0.0002,0.427,5.5155,,23.1853,,24.6519,355.462,58.7016,,451.961
11,1.43,2.1793,7.829,0.6088,3.7567,0.2053,3.8157,,7.7871,0.0002,0.0003,0.3173,5.5028,,24.2483,,25.6888,359.444,58.7758,,456.803
12,1.4192,2.1138,8.0231,0.6257,3.8826,0.2097,3.8922,,7.993,0.0002,0.0002,0.3181,5.5173,,24.6139,,26.0428,353.179,58.8969,,451.043
13,1.4306,2.2694,7.7728,0.6183,3.7075,0.1635,3.7876,,7.6667,0.0002,0.0003,0.3266,5.5001,,24.1794,,25.6198,353.914,63.3446,,455.91
14,1.4283,2.3502,8.0453,0.6612,2.5829,0.2498,3.3892,,6.2314,0.0002,0.0001,0.3137,5.6992,,23.3256,,24.7629,354.446,59.2984,,451.574
15,1.4207,2.1268,7.8049,0.5914,3.7578,0.2191,3.8014,,7.7884,0.0002,0.0001,0.3103,5.6078,,24.2523,,25.682,355.088,59.1698,,453.016
16,1.2891,1.6208,7.7817,0.9014,2.5492,0.2017,3.3468,,6.1008,0.0001,0.0002,0.3749,5.6902,,22.4792,,23.7779,362.486,58.7386,,455.935
